tag,estimator,variant,sigma_obs,sim_seed,est_seed,block,coverage,rung,cal_skill,cal_skill_sd,cal_pearson,cal_spearman,cal_sign_accuracy,n_split_seeds,n_params
noise_sd0.075,joint,strict,0.075,5,106,rank2,0.7,lowrank,-0.0009091094182199361,0.002895477687364701,0.0008035536259855657,0.0062572314171875885,,8,204
noise_sd0.3,joint,strict,0.3,0,101,rank2,0.05,lowrank,-0.01114035170649659,0.030338994310439207,0.0344064965469818,0.034008729808614115,0.5344877344877345,8,204
noise_sd0.3,joint,strict,0.3,0,101,rank2,0.1,lowrank,-0.01881756408596434,0.028465847730537196,-0.002709607345288494,0.009714018592824596,0.5386498175442235,8,204
noise_sd0.3,joint,strict,0.3,0,101,rank2,0.2,lowrank,-0.01174731938632255,0.02799665761848499,-0.02093728363454896,-0.011616459830683434,0.45359155410755,8,204
noise_sd0.3,joint,strict,0.3,0,101,rank2,0.4,lowrank,-0.003679462410114409,0.009311169333594441,-0.014921309004852789,0.0018984646772216515,0.43320889746246083,8,204
noise_sd0.3,joint,strict,0.3,0,101,rank2,0.7,lowrank,-0.0014293079552152865,0.002481112255524465,0.002403662082054868,0.001860839063947814,0.4702091657949043,8,204
noise_sd0.3,joint,strict,0.3,1,102,rank2,0.05,lowrank,-0.03204580715843812,0.04465857906163928,0.008216220214179375,0.014738637420767125,0.5198915329250695,8,204
noise_sd0.3,joint,strict,0.3,1,102,rank2,0.1,lowrank,-0.011870710170507504,0.014195292225024539,0.011667565633219811,0.015188040403266208,0.5108238562408295,8,204
noise_sd0.3,joint,strict,0.3,1,102,rank2,0.2,lowrank,-0.006077636836092068,0.011521166675189208,0.015517791475228316,0.023758623625924947,0.5189218439218439,8,204
noise_sd0.3,joint,strict,0.3,1,102,rank2,0.4,lowrank,-0.004401844151350115,0.005484125690117279,0.013346757367661709,0.01687136635364138,0.5345955301312444,8,204
noise_sd0.3,joint,strict,0.3,1,102,rank2,0.7,lowrank,-0.0035244094004723003,0.005214260777768235,0.018845794784727123,0.021091151061185014,0.5312366014918471,8,204
noise_sd0.3,joint,strict,0.3,2,103,rank2,0.05,lowrank,-0.05985482757775204,0.0933694001633133,-0.012926685235857426,-0.022150997117646877,0.46979976704341464,8,204
noise_sd0.3,joint,strict,0.3,2,103,rank2,0.1,lowrank,-0.029249984264630463,0.040728939251874936,-0.014353632398795967,-0.008411975243166933,0.5247556028201189,8,204
noise_sd0.3,joint,strict,0.3,2,103,rank2,0.2,lowrank,-0.008182967799484117,0.015892714723138784,-0.01801586945553644,-0.01167894049143192,0.40437086018617974,8,204
noise_sd0.3,joint,strict,0.3,2,103,rank2,0.4,lowrank,-0.004963720645275574,0.006041732232143247,-0.014833661731803362,-0.016147910056841203,0.4697640856748803,8,204
noise_sd0.3,joint,strict,0.3,2,103,rank2,0.7,lowrank,-0.001977331996857734,0.0026008548542608345,-0.012945072017176784,-0.017271198026335647,0.4722814605167546,8,204
noise_sd0.3,joint,strict,0.3,3,104,rank2,0.05,lowrank,-0.0582027660682235,0.07387418814453613,0.007799858030730656,-0.0009376002147772314,0.5288879078475006,8,204
noise_sd0.3,joint,strict,0.3,3,104,rank2,0.1,lowrank,-0.028687004834096128,0.03428270051809311,0.0044941844636938455,0.0021010144436715574,0.5484767898025348,8,204
noise_sd0.3,joint,strict,0.3,3,104,rank2,0.2,lowrank,-0.008636036803152974,0.013313539847558986,0.002540741071083146,0.0004135081038912243,0.4656446821152704,8,204
noise_sd0.3,joint,strict,0.3,3,104,rank2,0.4,lowrank,-0.00304237384460046,0.008076489183609242,0.02459706223266316,0.02580875685421958,0.559844429930585,8,204
noise_sd0.3,joint,strict,0.3,3,104,rank2,0.7,lowrank,-5.9700380529770225e-05,0.001563516756479836,0.024771411186216175,0.021148330189745476,0.5484352961957532,8,204
noise_sd0.3,joint,strict,0.3,4,105,rank2,0.05,lowrank,-0.14090327042506484,0.28068072637553737,-0.008317582515234215,-0.00915721262933481,0.5135555981486214,8,204
noise_sd0.3,joint,strict,0.3,4,105,rank2,0.1,lowrank,-0.017537183711083676,0.01832694274992101,0.0013824170164333013,-0.009902198689135338,0.47887465239438926,8,204
noise_sd0.3,joint,strict,0.3,4,105,rank2,0.2,lowrank,-0.01671510297087281,0.03721197100599642,-0.0038649324171843233,-0.009474490218854926,0.49324551011207685,8,204
noise_sd0.3,joint,strict,0.3,4,105,rank2,0.4,lowrank,-0.0024586521736932876,0.005806217680990248,-0.007871628473913515,-0.019936083524350452,0.5566463259598271,8,204
noise_sd0.3,joint,strict,0.3,4,105,rank2,0.7,lowrank,-0.0018989464676317375,0.0034049169946834316,0.012509375986104751,-0.0011965657080105262,0.509973578103966,8,204
noise_sd0.3,joint,strict,0.3,5,106,rank2,0.05,lowrank,-0.010424242171935341,0.018172862097425944,0.008285578002361842,0.00423878351818834,0.5100540519577473,8,204
noise_sd0.3,joint,strict,0.3,5,106,rank2,0.1,lowrank,-0.016217688859225365,0.02180078795577613,-0.015390584496153659,-0.017217429253683348,0.505975906706718,8,204
noise_sd0.3,joint,strict,0.3,5,106,rank2,0.2,lowrank,-0.009711452860636877,0.014112222522434107,0.0007245236676429682,-0.0020390535307907402,0.4959583109455155,8,204
noise_sd0.3,joint,strict,0.3,5,106,rank2,0.4,lowrank,-0.0021984266038782285,0.004498852801837689,-0.018781539146167786,-0.012613906952053541,0.5356541854139658,8,204
noise_sd0.3,joint,strict,0.3,5,106,rank2,0.7,lowrank,-0.0013034767218930154,0.0038873555773580376,0.0009820771870101518,-0.01479511714553897,0.5435046275563516,8,204
oracle_nuisance,oracle,nuisance,0.15,0,101,rank2,0.05,lowrank,-0.11833335213840737,0.2154770026521328,-0.0009301053140815275,0.005383993137065431,0.5008719243140316,8,204
oracle_nuisance,oracle,nuisance,0.15,0,101,rank2,0.1,lowrank,-0.003231854670294715,0.004152240289293195,0.008008803795438215,0.00843284562013996,0.4938949363066332,8,204
oracle_nuisance,oracle,nuisance,0.15,0,101,rank2,0.2,lowrank,-0.0013708355782062337,0.0025179073621386387,0.013511899617704487,0.00801896893987387,0.525615461238645,8,204
