block,screen,coverage,rung,metric,n_split_seeds,n_missing,mean,sd,ci_lo,ci_hi,n_seeds_positive,p_ttest,p_wilcoxon,flexible_diagnostic
power_k0.2,A375,0.05,lowrank,cal_skill,8,0,-0.06742580032076573,0.0723299934406456,-0.1278951880984852,-0.006956412543046228,1,0.03358646079166449,0.078125,False
power_k0.2,A375,0.05,mlp,cal_skill,8,0,-0.14750318385978395,0.15044718755714262,-0.27328018025790435,-0.02172618746166355,0,0.02757156399678422,0.0078125,True
power_k0.2,A375,0.1,lowrank,cal_skill,8,0,-0.0024682610775237507,0.16508289633019538,-0.14048101621279574,0.13554449405774827,5,0.9674487868655345,0.9453125,False
power_k0.2,A375,0.1,mlp,cal_skill,8,0,0.01651211752998058,0.06476092736441423,-0.03762937265081179,0.07065360771077295,4,0.4941835261433774,0.546875,True
power_k0.2,A375,0.2,lowrank,cal_skill,8,0,0.4102485346169152,0.046365633532480285,0.3714858949391456,0.4490111742946848,8,4.1494011728017024e-08,0.0078125,False
power_k0.2,A375,0.2,mlp,cal_skill,8,0,0.3570696997957636,0.04794959938254143,0.31698283152819584,0.39715656806333133,8,1.3678169736915636e-07,0.0078125,True
power_k0.2,A375,0.4,lowrank,cal_skill,8,0,0.6057950889288011,0.02381242560448891,0.5858874029286973,0.6257027749289048,8,2.6331765942207834e-11,0.0078125,False
power_k0.2,A375,0.4,mlp,cal_skill,8,0,0.5811530720898033,0.04042636858195803,0.5473557821697723,0.6149503620098342,8,1.4186349017598754e-09,0.0078125,True
power_k0.2,A375,0.7,lowrank,cal_skill,8,0,0.6973485969103319,0.041940473926093506,0.6622854832450523,0.7324117105756115,8,5.140132511120751e-10,0.0078125,False
power_k0.2,A375,0.7,mlp,cal_skill,8,0,0.7236495816619163,0.03467680765440789,0.694659044967502,0.7526401183563306,8,1.0515349856724563e-10,0.0078125,True
power_k0.2,PANC1,0.05,lowrank,cal_skill,8,0,-0.12048853661211648,0.09509201092842613,-0.19998744722812187,-0.040989625996111084,0,0.008930442576572876,0.0078125,False
power_k0.2,PANC1,0.05,mlp,cal_skill,8,0,-0.09724723444376154,0.10204558115597494,-0.1825594752500192,-0.011934993637503888,0,0.030842340648208916,0.0078125,True
power_k0.2,PANC1,0.1,lowrank,cal_skill,8,0,0.11504888733433251,0.12905017102610544,0.007160244416616002,0.22293753025204902,6,0.0397200190650682,0.0390625,False
power_k0.2,PANC1,0.1,mlp,cal_skill,8,0,0.09175026493182083,0.10805511471948001,0.0014139283372369832,0.18208660152640466,6,0.047352276115497284,0.109375,True
power_k0.2,PANC1,0.2,lowrank,cal_skill,8,0,0.5087544656144094,0.045471825946806335,0.47073906777817454,0.5467698634506443,8,8.13180801592585e-09,0.0078125,False
power_k0.2,PANC1,0.2,mlp,cal_skill,8,0,0.4411192464316228,0.06376088713135311,0.387813810808141,0.49442468205510465,8,2.2723059056417222e-07,0.0078125,True
power_k0.2,PANC1,0.4,lowrank,cal_skill,8,0,0.6506768311301394,0.04313747968042297,0.6146129956109293,0.6867406666493495,8,1.0143778911425849e-09,0.0078125,False
power_k0.2,PANC1,0.4,mlp,cal_skill,8,0,0.6898134353322298,0.028980048403589087,0.6655855085569876,0.714041362107472,8,4.192252292156296e-11,0.0078125,True
power_k0.2,PANC1,0.7,lowrank,cal_skill,8,0,0.7727473176139406,0.029205734510155765,0.7483307125318874,0.7971639226959937,8,2.0011834521615376e-11,0.0078125,False
power_k0.2,PANC1,0.7,mlp,cal_skill,8,0,0.7894455520643997,0.035006775476516,0.7601791553672385,0.818711948761561,8,6.115711479188214e-11,0.0078125,True
