screen,coverage,rung,metric,n_split_seeds,n_missing,mean,sd,ci_lo,ci_hi,n_seeds_positive,p_ttest,p_wilcoxon,flexible_diagnostic
A375,0.4,mlp,cal_spearman,8,0,0.341299028863271,0.13517651963715002,0.2282886303335241,0.45430942739301794,8,0.00018677143666059483,0.0078125,True
A375,0.4,mlp_ordered,cal_spearman,8,0,0.47582772306950577,0.07438873549059101,0.41363718386579307,0.5380182622732185,8,3.897317576166775e-07,0.0078125,True
A375,0.4,potential,cal_spearman,8,0,-0.03277883986858102,0.03934213580234046,-0.06566968850093494,0.00011200876377290975,1,0.050595852809322654,0.0546875,False
A375,0.4,zero,cal_spearman,0,8,,,,,0,,,False
A375,0.7,lowrank,cal_spearman,8,0,0.6209026849603809,0.03434236955608948,0.5921917455131509,0.649613624407611,8,2.8641466045372555e-10,0.0078125,False
A375,0.7,mlp,cal_spearman,8,0,0.583820430801099,0.025216679695396326,0.5627387590017126,0.6049021026004855,8,5.088815529501524e-11,0.0078125,True
A375,0.7,mlp_ordered,cal_spearman,8,0,0.6310011673729956,0.0414015354585632,0.5963886175420424,0.6656137172039488,8,9.435915670363045e-10,0.0078125,True
A375,0.7,potential,cal_spearman,8,0,-0.011986880757299666,0.027273141786875205,-0.034787797889700864,0.010814036375101532,3,0.2538407282042635,0.25,False
A375,0.7,zero,cal_spearman,0,8,,,,,0,,,False
PANC1,0.05,lowrank,cal_spearman,8,0,-0.005210938024522884,0.043059703095919354,-0.0412097506918751,0.030787874642829338,3,0.7421825228217434,0.640625,False
PANC1,0.05,mlp,cal_spearman,8,0,-0.02821369571699127,0.04774829576330424,-0.06813226994727692,0.011704878513294374,2,0.13859105433568475,0.1484375,True
PANC1,0.05,mlp_ordered,cal_spearman,7,1,0.0023219339525223336,0.06217078439655923,-0.05517645166623329,0.059820319571277966,3,0.9245056096527041,0.9375,True
PANC1,0.05,potential,cal_spearman,6,2,-0.02160896073965804,0.07774641194970124,-0.10319881631370956,0.05998089483439348,3,0.5262326358362065,0.6875,False
PANC1,0.05,zero,cal_spearman,0,8,,,,,0,,,False
PANC1,0.1,lowrank,cal_spearman,8,0,0.0018475187447938848,0.058273753328803905,-0.046870558219975204,0.050565595709562976,4,0.9310590312916196,1.0,False
PANC1,0.1,mlp,cal_spearman,8,0,0.01048947682695819,0.02429606287115903,-0.009822540046561589,0.03080149370047797,5,0.26156460057171055,0.3125,True
PANC1,0.1,mlp_ordered,cal_spearman,8,0,0.05641740657300289,0.11794677672957833,-0.04218856641171296,0.15502337955771875,5,0.21814821036354284,0.25,True
PANC1,0.1,potential,cal_spearman,6,2,-0.038019962038826426,0.05283995427570402,-0.09347209326622444,0.01743216918857158,1,0.13828029971382264,0.3125,False
PANC1,0.1,zero,cal_spearman,0,8,,,,,0,,,False
PANC1,0.2,lowrank,cal_spearman,8,0,0.11046765008593043,0.10255636178428044,0.024728385988046206,0.19620691418381464,7,0.018672051283737844,0.0390625,False
PANC1,0.2,mlp,cal_spearman,8,0,0.06568969066329919,0.06262231163958187,0.013336127971792962,0.11804325335480542,8,0.02089736820194711,0.0078125,True
PANC1,0.2,mlp_ordered,cal_spearman,8,0,0.19172652460543746,0.14910851278271542,0.06706868832599615,0.31638436088487876,7,0.008321867839984301,0.0234375,True
PANC1,0.2,potential,cal_spearman,6,2,-0.04957506225380367,0.10479252705798119,-0.1595480749432134,0.06039795043560608,2,0.2988701835537514,0.5625,False
PANC1,0.2,zero,cal_spearman,0,8,,,,,0,,,False
PANC1,0.4,lowrank,cal_spearman,8,0,0.4636776995171673,0.04731346264260652,0.4241226548732025,0.5032327441611322,8,2.0421371163203013e-08,0.0078125,False
PANC1,0.4,mlp,cal_spearman,8,0,0.2771573322208418,0.17708406124728077,0.12911135213095795,0.4252033123107257,7,0.0030559722513142187,0.0234375,True
PANC1,0.4,mlp_ordered,cal_spearman,8,0,0.4550466430329175,0.027670341881193813,0.4319136583115926,0.47817962775424233,8,5.55016618087028e-10,0.0078125,True
PANC1,0.4,potential,cal_spearman,8,0,-0.020134061507730817,0.048358063473974595,-0.060562414301471135,0.0202942912860095,3,0.277427693659342,0.3125,False
PANC1,0.4,zero,cal_spearman,0,8,,,,,0,,,False
PANC1,0.7,lowrank,cal_spearman,8,0,0.5973244245347165,0.04158809284649338,0.562555908824369,0.6320929402450639,8,1.4274217481033644e-09,0.0078125,False
PANC1,0.7,mlp,cal_spearman,8,0,0.5529908866580223,0.04984215258205814,0.5113218043203613,0.5946599689956833,8,8.620668672388165e-09,0.0078125,True
PANC1,0.7,mlp_ordered,cal_spearman,8,0,0.6199298583809937,0.04348465566940794,0.5835757764715046,0.6562839402904828,8,1.5035224099953318e-09,0.0078125,True
PANC1,0.7,potential,cal_spearman,8,0,-0.01234267156474926,0.03360350002255392,-0.0404359006235888,0.015750557494090284,3,0.3334037109304768,0.3125,False
PANC1,0.7,zero,cal_spearman,0,8,,,,,0,,,False
