screen,coverage,rung,metric,n_split_seeds,n_missing,mean,sd,ci_lo,ci_hi,n_seeds_positive,p_ttest,p_wilcoxon,flexible_diagnostic
A375,0.4,zero,cal_rmse,8,0,0.1592873953609269,0.0032967032065158155,0.15653128250787593,0.16204350821397787,8,,,False
A375,0.7,lowrank,cal_rmse,8,0,0.12502143454485598,0.003308990694150702,0.12225504909506797,0.12778781999464398,8,1.6561885618322237e-12,0.0078125,False
A375,0.7,mlp,cal_rmse,8,0,0.13076878883892357,0.0041678761023197725,0.12728435721862374,0.1342532204592234,8,6.076236928382422e-12,0.0078125,True
A375,0.7,mlp_ordered,cal_rmse,8,0,0.12586853598764255,0.00735138836520626,0.11972262151130489,0.13201445046398022,8,4.188886383959991e-10,0.0078125,True
A375,0.7,potential,cal_rmse,8,0,0.15719716320912114,0.0036661307201921356,0.1541322012256111,0.16026212519263117,8,6.833765219206557e-13,0.0078125,False
A375,0.7,zero,cal_rmse,8,0,0.1573384859267729,0.003442829455476705,0.15446020847239136,0.16021676338115445,8,,,False
PANC1,0.05,lowrank,cal_rmse,8,0,0.15324364259047935,0.004742806132242706,0.14927855743669075,0.15720872774426795,8,4.947645997626616e-12,0.0078125,False
PANC1,0.05,mlp,cal_rmse,8,0,0.15031811458292632,0.00786687871443708,0.1437412393897335,0.15689498977611915,8,1.9465424835438205e-10,0.0078125,True
PANC1,0.05,mlp_ordered,cal_rmse,8,0,0.1478471982279606,0.006274006440007369,0.1426019975816749,0.1530923988742463,8,4.4973422353339115e-11,0.0078125,True
PANC1,0.05,potential,cal_rmse,8,0,0.14408036538766478,0.005134451653248278,0.13978785638445296,0.1483728743908766,8,1.3264307202716218e-11,0.0078125,False
PANC1,0.05,zero,cal_rmse,8,0,0.14361979679518444,0.0045766844170978946,0.13979359287079393,0.14744600071957495,8,,,False
PANC1,0.1,lowrank,cal_rmse,8,0,0.1464419160648683,0.009248718970820939,0.1387097935069884,0.15417403862274823,8,7.230459870913782e-10,0.0078125,False
PANC1,0.1,mlp,cal_rmse,8,0,0.14382479237397697,0.008400833300714537,0.13680151997545603,0.1508480647724979,8,4.1913399290083335e-10,0.0078125,True
PANC1,0.1,mlp_ordered,cal_rmse,8,0,0.14134108654573263,0.007487596056904672,0.1350812995894482,0.14760087350201706,8,2.1191624884201158e-10,0.0078125,True
PANC1,0.1,potential,cal_rmse,8,0,0.13863433338440104,0.006463752126572467,0.1332305013743579,0.14403816539444417,8,8.683401652652227e-11,0.0078125,False
PANC1,0.1,zero,cal_rmse,8,0,0.13866523896788585,0.006488809399642532,0.13324045855331718,0.14409001938245453,8,,,False
PANC1,0.2,lowrank,cal_rmse,8,0,0.13530888333356897,0.006309911512731225,0.13003366529529348,0.14058410137184446,8,8.695015391507843e-11,0.0078125,False
PANC1,0.2,mlp,cal_rmse,8,0,0.13669385513226778,0.006056964952749433,0.13163010571019135,0.14175760455434422,8,6.08391923144481e-11,0.0078125,True
PANC1,0.2,mlp_ordered,cal_rmse,8,0,0.1309875900237862,0.005308892300213483,0.12654924499012885,0.13542593505744357,8,3.2616392727242077e-11,0.0078125,True
PANC1,0.2,potential,cal_rmse,8,0,0.1346730344679704,0.005510260628438963,0.13006634129896297,0.13927972763697785,8,3.485161647603868e-11,0.0078125,False
PANC1,0.2,zero,cal_rmse,8,0,0.13463747457670827,0.005587632326945338,0.12996609704900747,0.13930885210440908,8,,,False
PANC1,0.4,lowrank,cal_rmse,8,0,0.11540515270889225,0.00318572871824387,0.11274181684980376,0.11806848856798073,8,2.223027207168145e-12,0.0078125,False
PANC1,0.4,mlp,cal_rmse,8,0,0.12371547785494673,0.007726558996262139,0.11725591288186532,0.13017504282802814,8,6.687921455251937e-10,0.0078125,True
PANC1,0.4,mlp_ordered,cal_rmse,8,0,0.11592365539266734,0.005581544057184764,0.1112573677858629,0.12058994299947179,8,1.087171921580211e-10,0.0078125,True
PANC1,0.4,potential,cal_rmse,8,0,0.1310758741564163,0.005378369500307391,0.12657944472990418,0.13557230358292843,8,3.5552183952835955e-11,0.0078125,False
PANC1,0.4,zero,cal_rmse,8,0,0.1310050166786083,0.005415237959110971,0.12647776444918815,0.13553226890802847,8,,,False
PANC1,0.7,lowrank,cal_rmse,8,0,0.10195110598162241,0.0060798921070511274,0.09686818897887632,0.1070340229843685,8,4.84495387406119e-10,0.0078125,False
PANC1,0.7,mlp,cal_rmse,8,0,0.10677563432670453,0.007133473532638281,0.10081190120952713,0.11273936744388194,8,1.0702761195516605e-09,0.0078125,True
PANC1,0.7,mlp_ordered,cal_rmse,8,0,0.10285488158221523,0.007826016124738901,0.09631216836892204,0.10939759479550842,8,2.650595885045051e-09,0.0078125,True
PANC1,0.7,potential,cal_rmse,8,0,0.12888163251388732,0.00612643873504701,0.12375980155630535,0.13400346347146927,8,9.940560578931348e-11,0.0078125,False
PANC1,0.7,zero,cal_rmse,8,0,0.1289844796103235,0.005965763690698441,0.12399697635140072,0.13397198286924628,8,,,False
