tag,screen,coverage,family,split_seed,init_seed,shuffle_train_direction,n_drugs,n_train_rows,n_val_rows,n_test_rows,n_params,n_pair_params,n_first_order_params,pair_hidden,pair_evals_per_row,train_loss,val_loss,epochs_run,train_head_A_rms_std_units,test_head_A_rms_std_units,test_head_sym_rms_std_units,test_first_order_A_rms_std_units,test_head_A_over_sym,restart_train_loss_worst,restart_train_loss_ratio,n_restarts_collapsed,y_mean_train,y_std_train,ordering_threshold_source,const_baseline_mse,const_baseline_mae,test_n_rows,test_mae,test_mse,test_rmse,test_r2,test_n_pairs,test_D_mae,test_D_rmse,test_D_true_std,test_D_pred_std,test_D_pearson,test_D_spearman,test_ordering_threshold,test_ordering_n,test_ordering_frac_of_pairs,test_ordering_accuracy,test_ordering_balanced_accuracy,test_ordering_curve,test_pred_A_rms,test_true_A_rms,test_pred_A_rms_ratio,head_can_be_antisymmetric,collapsed,split_coverage,split_split_seed,split_n_train_pairs,split_n_val_pairs,split_n_test_pairs,split_n_test_pairs_dropped_for_connectivity,split_train_degree_min,split_train_degree_median,split_train_degree_max,split_n_isolated_drugs,split_test_endpoint_degree_min,split_test_endpoint_degree_median,nice,lr
main,A375,0.05,structured,0,0,False,100,422,74,1696,34347,32546,201,48,4,0.01139916479587555,1.304412841796875,1480,0.5932310223579407,0.6119503378868103,0.7919569611549377,0.02648347057402134,0.7727065584402243,0.01790926605463028,1.5711033549677444,0,-0.018845345682464456,0.15797746020795703,2 * sqrt(2) * median posterior synergy_sd,0.03019370914562712,0.10144410314040284,1696,0.10330397724673371,0.022805624925407705,0.15101531354603648,0.23785231361413695,848,0.1343386056941846,0.18840908204538845,0.2200987637388758,0.19968023896217346,0.6010772680585498,0.5163433367025728,0.14230543775947893,289,0.3408018867924528,0.8373702422145328,0.8388278388278387,"{'0.00': {'n': 847, 'accuracy': 0.6694214876033058}, '0.05': {'n': 445, 'accuracy': 0.7617977528089888}, '0.10': {'n': 363, 'accuracy': 0.790633608815427}, '0.15': {'n': 273, 'accuracy': 0.8388278388278388}, '0.20': {'n': 222, 'accuracy': 0.8648648648648649}, '0.30': {'n': 126, 'accuracy': 0.8968253968253969}}",0.0999750941991806,0.11009523616147858,0.9080782937105962,True,False,0.05,0,211,37,848,637,0,4.0,11,1,3,5.0,structured,0.01
main,A375,0.05,structured,1,0,False,100,422,74,1858,34347,32546,201,48,4,0.017511434853076935,0.4987439215183258,90,0.5120473504066467,0.4179140329360962,0.6114243865013123,0.10422438383102417,0.6835089377567691,0.6054172515869141,34.57268103193361,0,-0.019548124665876777,0.18350201696528365,2 * sqrt(2) * median posterior synergy_sd,0.03736334396976236,0.11762284727698336,1858,0.1122008318672344,0.024845172846555,0.15762351615972472,0.32650899751889795,929,0.14431003501009965,0.19343272366360978,0.2252608861678265,0.17473949491977692,0.558528748561155,0.49327648170254945,0.14230543775947893,359,0.38643702906350913,0.7827298050139275,0.7768348917638017,"{'0.00': {'n': 929, 'accuracy': 0.6684607104413348}, '0.05': {'n': 541, 'accuracy': 0.7005545286506469}, '0.10': {'n': 439, 'accuracy': 0.7425968109339408}, '0.15': {'n': 345, 'accuracy': 0.7942028985507247}, '0.20': {'n': 276, 'accuracy': 0.8115942028985508}, '0.30': {'n': 157, 'accuracy': 0.8726114649681529}}",0.08772141486406326,0.11338714222674628,0.773645169472938,True,False,0.05,1,211,37,929,556,1,4.0,10,0,3,4.0,structured,0.01
main,A375,0.05,structured,2,0,False,100,422,74,1856,34347,32546,201,48,4,0.01830081269145012,0.8190164566040039,95,0.4868375062942505,0.36941391229629517,0.5334035754203796,0.09946887195110321,0.692559872710184,0.020485952496528625,1.1194012441917058,0,-0.03025461429620853,0.18758003615218868,2 * sqrt(2) * median posterior synergy_sd,0.033263187262822694,0.11598153761563113,1856,0.10975390479698546,0.024057235808283176,0.1551039516204638,0.2756903683135964,928,0.14385785703034856,0.19284458992694323,0.23376891151829587,0.16089162230491638,0.5762460785658499,0.48235320403485066,0.14230543775947893,358,0.3857758620689655,0.7597765363128491,0.7504430379746836,"{'0.00': {'n': 928, 'accuracy': 0.6756465517241379}, '0.05': {'n': 517, 'accuracy': 0.7176015473887815}, '0.10': {'n': 431, 'accuracy': 0.7262180974477959}, '0.15': {'n': 343, 'accuracy': 0.7667638483965015}, '0.20': {'n': 274, 'accuracy': 0.7846715328467153}, '0.30': {'n': 169, 'accuracy': 0.8520710059171598}}",0.08127979189157486,0.11739335713708646,0.6923713051042584,True,False,0.05,2,211,37,928,557,0,4.0,10,3,3,5.0,structured,0.01
main,A375,0.05,structured,3,0,False,100,422,74,1998,34347,32546,201,48,4,0.02043023519217968,0.41607192158699036,225,0.5313922762870789,0.5222570896148682,0.6131530404090881,0.03051549382507801,0.8517565031829977,0.02043023519217968,1.0079098008678662,0,-0.017780450834123225,0.177899917102027,2 * sqrt(2) * median posterior synergy_sd,0.029669527564540825,0.10498387731103379,1998,0.10989346007587819,0.02342652288255877,0.15305725360974817,0.210135147907752,999,0.16087919950069568,0.21437648643624135,0.21202409330184552,0.1922391951084137,0.44129180767257714,0.41138464316019424,0.14230543775947893,389,0.3893893893893894,0.7789203084832905,0.773454070810899,"{'0.00': {'n': 999, 'accuracy': 0.6606606606606606}, '0.05': {'n': 593, 'accuracy': 0.7133220910623946}, '0.10': {'n': 472, 'accuracy': 0.7415254237288136}, '0.15': {'n': 369, 'accuracy': 0.7859078590785907}, '0.20': {'n': 287, 'accuracy': 0.8118466898954704}, '0.30': {'n': 155, 'accuracy': 0.8193548387096774}}",0.09711922705173492,0.10664749685704299,0.9106564140171021,True,False,0.05,3,211,37,999,486,1,4.0,9,0,3,4.0,structured,0.01
main,A375,0.05,structured,4,0,False,100,422,74,1786,34347,32546,201,48,4,0.016573166474699974,0.44197598099708557,370,0.5214614868164062,0.5151625275611877,0.9586228132247925,0.028179548680782318,0.5373985685028597,0.016611577942967415,1.0023176903656932,0,-0.04439586813981042,0.1885486549665089,2 * sqrt(2) * median posterior synergy_sd,0.0380023529794572,0.13374307342476768,1786,0.10585555142383975,0.021562970403449497,0.14684335328318235,0.4321093022334609,893,0.14138391401826944,0.1892448532875111,0.23311662515342554,0.2021438330411911,0.631603001963501,0.5610350714186991,0.14230543775947893,358,0.4008958566629339,0.835195530726257,0.841867088607595,"{'0.00': {'n': 893, 'accuracy': 0.6808510638297872}, '0.05': {'n': 528, 'accuracy': 0.7708333333333334}, '0.10': {'n': 422, 'accuracy': 0.8056872037914692}, '0.15': {'n': 347, 'accuracy': 0.8386167146974063}, '0.20': {'n': 271, 'accuracy': 0.8634686346863468}, '0.30': {'n': 164, 'accuracy': 0.8780487804878049}}",0.10107241570949554,0.11668689312202687,0.8661848216645697,True,False,0.05,4,211,37,893,592,0,4.0,11,2,3,5.0,structured,0.01
main,A375,0.05,structured,5,0,False,100,422,74,2000,34347,32546,201,48,4,0.015975790098309517,0.3851793110370636,395,0.5459690093994141,0.510440468788147,0.6276935935020447,0.02860972099006176,0.8132000614189545,0.021676717326045036,1.3568479050271676,0,-0.03738755831516588,0.20435928649100682,2 * sqrt(2) * median posterior synergy_sd,0.03567930116021125,0.1250587653092678,2000,0.10574306548569536,0.021126147033847596,0.1453483644003179,0.40782999297138456,1000,0.15081763942311704,0.1981831321813632,0.22763419355102732,0.21697135269641876,0.6052828298774166,0.5674008754008754,0.14230543775947893,404,0.404,0.8292079207920792,0.8302998914866331,"{'0.00': {'n': 1000, 'accuracy': 0.71}, '0.05': {'n': 579, 'accuracy': 0.7823834196891192}, '0.10': {'n': 468, 'accuracy': 0.811965811965812}, '0.15': {'n': 389, 'accuracy': 0.8329048843187661}, '0.20': {'n': 315, 'accuracy': 0.8666666666666667}, '0.30': {'n': 187, 'accuracy': 0.9090909090909091}}",0.10849468410015106,0.11409559577244839,0.9509103604361052,True,False,0.05,5,211,37,1000,485,0,4.0,9,2,3,4.0,structured,0.01
main,A375,0.05,structured,6,0,False,100,422,74,1898,34347,32546,201,48,4,0.02143663913011551,0.37073609232902527,115,0.4901103377342224,0.46521270275115967,0.6096116900444031,0.08364009112119675,0.7631295632097777,0.02143663913011551,1.2098070335628266,0,-0.039596683061611376,0.19940668444482085,2 * sqrt(2) * median posterior synergy_sd,0.03344782024554865,0.12033581238077247,1898,0.10431863032698863,0.02031762482596558,0.14253990608235148,0.3916546478108124,949,0.15538827986236545,0.20371161229394014,0.22561830227374263,0.20711882412433624,0.559666307348957,0.48211885437807883,0.14230543775947893,357,0.3761854583772392,0.7703081232492998,0.7700564971751412,"{'0.00': {'n': 948, 'accuracy': 0.6603375527426161}, '0.05': {'n': 528, 'accuracy': 0.7026515151515151}, '0.10': {'n': 439, 'accuracy': 0.7380410022779044}, '0.15': {'n': 344, 'accuracy': 0.7761627906976745}, '0.20': {'n': 265, 'accuracy': 0.8301886792452831}, '0.30': {'n': 157, 'accuracy': 0.8980891719745223}}",0.10356032103300095,0.11280986122194157,0.9180076981856832,True,False,0.05,6,211,37,949,536,1,4.0,10,0,3,5.0,structured,0.01
main,A375,0.05,structured,7,0,False,100,422,74,2006,34347,32546,201,48,4,0.022897819057106972,0.5532373189926147,105,0.5800779461860657,0.5705304741859436,0.532830536365509,0.07770998030900955,1.0707540864260328,0.022897819057106972,1.1004779621937921,0,-0.030583193599526062,0.17604152801656608,2 * sqrt(2) * median posterior synergy_sd,0.03290845133957972,0.11671258287573771,2006,0.11661626156752379,0.026186633399347955,0.16182284572750522,0.20393998077194642,1003,0.15081766602081187,0.20181127482067593,0.22317674314621583,0.2191666215658188,0.5971699824657404,0.51868086605465,0.14230543775947893,404,0.40279162512462613,0.7995049504950495,0.8077174870955559,"{'0.00': {'n': 1003, 'accuracy': 0.674975074775673}, '0.05': {'n': 600, 'accuracy': 0.7366666666666667}, '0.10': {'n': 485, 'accuracy': 0.7711340206185567}, '0.15': {'n': 390, 'accuracy': 0.8}, '0.20': {'n': 296, 'accuracy': 0.8243243243243243}, '0.30': {'n': 154, 'accuracy': 0.8961038961038961}}",0.10981094092130661,0.11212848712849663,0.979331334377729,True,False,0.05,7,211,37,1003,482,1,4.0,9,0,3,4.0,structured,0.01
main,A375,0.05,unrestricted,0,0,False,100,422,74,1696,34224,32423,201,86,1,0.01616474613547325,1.2928636074066162,85,0.5848345160484314,0.5792849063873291,0.6510299444198608,0.039850302040576935,0.8897976373475963,0.02577701397240162,1.5946439094292,0,-0.018845345682464456,0.15797746020795703,2 * sqrt(2) * median posterior synergy_sd,0.03019370914562712,0.10144410314040284,1696,0.10171083568459287,0.021395765745431616,0.14627291528315015,0.28496879981713175,848,0.13059468479691191,0.17852180006568152,0.2200987637388758,0.1923726350069046,0.6327869385109228,0.5424069593620291,0.14230543775947893,289,0.3408018867924528,0.8477508650519031,0.8489974937343359,"{'0.00': {'n': 847, 'accuracy': 0.6765053128689492}, '0.05': {'n': 445, 'accuracy': 0.7595505617977528}, '0.10': {'n': 363, 'accuracy': 0.790633608815427}, '0.15': {'n': 273, 'accuracy': 0.8534798534798534}, '0.20': {'n': 222, 'accuracy': 0.8828828828828829}, '0.30': {'n': 126, 'accuracy': 0.9126984126984127}}",0.09628204256296158,0.11009523616147858,0.874534138986205,True,False,0.05,0,211,37,848,637,0,4.0,11,1,3,5.0,unrestricted,0.03
main,A375,0.05,unrestricted,1,0,False,100,422,74,1858,34224,32423,201,86,1,0.03822457417845726,0.4778209328651428,20,0.4252265989780426,0.3192240297794342,0.4634103775024414,0.22943063080310822,0.6888581811652511,0.061926454305648804,1.620069173734564,0,-0.019548124665876777,0.18350201696528365,2 * sqrt(2) * median posterior synergy_sd,0.03736334396976236,0.11762284727698336,1858,0.1116684395378524,0.02471477995788595,0.15720935073298264,0.330043625265241,929,0.14545457774677314,0.19577924881645953,0.2252608861678265,0.1624380648136139,0.5321604385870011,0.4829602560433731,0.14230543775947893,359,0.38643702906350913,0.7910863509749304,0.7829351863712053,"{'0.00': {'n': 929, 'accuracy': 0.6684607104413348}, '0.05': {'n': 541, 'accuracy': 0.6987060998151571}, '0.10': {'n': 439, 'accuracy': 0.7471526195899773}, '0.15': {'n': 345, 'accuracy': 0.7942028985507247}, '0.20': {'n': 276, 'accuracy': 0.8188405797101449}, '0.30': {'n': 157, 'accuracy': 0.8726114649681529}}",0.08152427524328232,0.11338714222674628,0.7189904749539758,True,False,0.05,1,211,37,929,556,1,4.0,10,0,3,4.0,unrestricted,0.03
main,A375,0.05,unrestricted,2,0,False,100,422,74,1856,34224,32423,201,86,1,0.00796088483184576,0.8219114542007446,1440,0.5628597140312195,0.4552118182182312,0.6697167158126831,0.019379934296011925,0.6797080130601847,0.04654151201248169,5.8462737491569605,0,-0.03025461429620853,0.18758003615218868,2 * sqrt(2) * median posterior synergy_sd,0.033263187262822694,0.11598153761563113,1856,0.1095196722853398,0.024083042308305165,0.15518712030418363,0.27491339224390154,928,0.1457347613515625,0.1973379492407276,0.23376891151829587,0.1742342859506607,0.5656049375050833,0.4807546912112517,0.14230543775947893,358,0.3857758620689655,0.7737430167597765,0.768259493670886,"{'0.00': {'n': 928, 'accuracy': 0.6627155172413793}, '0.05': {'n': 517, 'accuracy': 0.7176015473887815}, '0.10': {'n': 431, 'accuracy': 0.7424593967517401}, '0.15': {'n': 343, 'accuracy': 0.7725947521865889}, '0.20': {'n': 274, 'accuracy': 0.7846715328467153}, '0.30': {'n': 169, 'accuracy': 0.8875739644970414}}",0.08802661299705505,0.11739335713708646,0.7498432206369369,True,False,0.05,2,211,37,928,557,0,4.0,10,3,3,5.0,unrestricted,0.03
main,A375,0.05,unrestricted,3,0,False,100,422,74,1998,34224,32423,201,86,1,0.03067971020936966,0.4075600504875183,40,0.4500381052494049,0.3799527585506439,0.47434207797050476,0.12321019917726517,0.8010100225058885,0.03067971020936966,1.4092563191770944,0,-0.017780450834123225,0.177899917102027,2 * sqrt(2) * median posterior synergy_sd,0.029669527564540825,0.10498387731103379,1998,0.10923818189826548,0.023527823071871894,0.15338781917698646,0.2067196406449009,999,0.15598349781728327,0.20612833660812854,0.21202409330184552,0.16642168164253235,0.427721027037283,0.4286306306306306,0.14230543775947893,389,0.3893893893893894,0.7712082262210797,0.7606597052265187,"{'0.00': {'n': 999, 'accuracy': 0.6596596596596597}, '0.05': {'n': 593, 'accuracy': 0.715008431703204}, '0.10': {'n': 472, 'accuracy': 0.75}, '0.15': {'n': 369, 'accuracy': 0.7777777777777778}, '0.20': {'n': 287, 'accuracy': 0.8013937282229965}, '0.30': {'n': 155, 'accuracy': 0.8193548387096774}}",0.08438514173030853,0.10664749685704299,0.7912529052925048,True,False,0.05,3,211,37,999,486,1,4.0,9,0,3,4.0,unrestricted,0.03
