tag,screen,coverage,family,n_runs,n_collapsed_runs,n_collapsed_restarts,mean_head_A_over_sym,min_head_A_over_sym,mean_first_order_A_rms,worst_restart_ratio,zero_A_is_expected
main,A375,0.05,unrestricted,8,0,0,0.7976413468210432,0.6797080130601847,0.09773980313912034,5.8462737491569605,False
main,A375,0.1,additive,8,0,16,0.0,0.0,0.31724312901496887,1.0037454159852917,True
main,A375,0.1,order_insensitive,8,0,16,0.0,0.0,0.0,1.239566381704564,True
main,A375,0.1,structured,8,0,0,0.7410499036469996,0.6274122853101894,0.04041527514345944,1.4833391650417922,False
main,A375,0.1,unrestricted,8,0,0,0.7459012919034932,0.6597170796181293,0.08517296891659498,1.4515240608609958,False
main,A375,0.2,additive,8,0,16,0.0,0.0,0.30521050468087196,1.036372121953108,True
main,A375,0.2,order_insensitive,8,0,16,0.0,0.0,0.0,1.0565239184680555,True
main,A375,0.2,structured,8,0,0,0.7033508305064181,0.5443933012999544,0.032929463777691126,1.4747283098184318,False
main,A375,0.2,unrestricted,8,0,0,0.7163524386936571,0.6533158781662212,0.05679174652323127,2.0496782377725022,False
main,A375,0.4,additive,8,0,16,0.0,0.0,0.30243324488401413,1.00063279074909,True
main,A375,0.4,order_insensitive,8,0,16,0.0,0.0,0.0,1.37268647284447,True
main,A375,0.4,structured,8,0,0,0.48730391869002104,0.4210254123808687,0.024269049521535635,1.1817796189275844,False
main,A375,0.4,unrestricted,8,0,0,0.6721316783827873,0.5938182269514344,0.018278185394592583,1.186341345231315,False
main,A375,0.7,additive,8,0,16,0.0,0.0,0.30691253766417503,1.0013249393692365,True
main,A375,0.7,order_insensitive,8,0,16,0.0,0.0,0.0,1.3977123240678038,True
main,A375,0.7,structured,8,0,0,0.4460410468235404,0.42206881583740924,0.023850965779274702,1.0314079040788648,False
main,A375,0.7,unrestricted,8,0,0,0.6463066389785812,0.3608920473678085,0.01614992367103696,1.274380341928812,False
main,PANC1,0.05,additive,8,0,16,0.0,0.0,0.30319463461637497,1.0055722594848338,True
main,PANC1,0.05,order_insensitive,8,0,16,0.0,0.0,0.0,1.385268101933723,True
main,PANC1,0.05,structured,8,0,0,0.7080176658574604,0.08037279086936482,0.06372748536523432,53.90618539120477,False
main,PANC1,0.05,unrestricted,8,0,0,0.7159936839430946,0.056646339193875433,0.10775254550389946,40.35425725520936,False
main,PANC1,0.1,additive,8,0,16,0.0,0.0,0.2962263859808445,1.0034925862405986,True
main,PANC1,0.1,order_insensitive,8,0,16,0.0,0.0,0.0,1.2930975665869824,True
main,PANC1,0.1,structured,8,0,0,0.8101311549244379,0.6499754458174057,0.04719918849878013,18.246974183991544,False
main,PANC1,0.1,unrestricted,8,0,0,0.8020713070785708,0.6645198153176577,0.059601944871246815,2.61106889897641,False
main,PANC1,0.2,additive,8,0,16,0.0,0.0,0.28122129663825035,1.0034936917652588,True
main,PANC1,0.2,order_insensitive,8,0,16,0.0,0.0,0.0,1.656500546463514,True
main,PANC1,0.2,structured,8,0,0,0.7877756951367113,0.672613026057313,0.0407507864292711,2.1968197452358162,False
main,PANC1,0.2,unrestricted,8,0,0,0.7522008138224127,0.5587845851349263,0.07251402968540788,2.277696476174209,False
main,PANC1,0.4,additive,8,0,16,0.0,0.0,0.27389153465628624,1.0084777021593367,True
main,PANC1,0.4,order_insensitive,8,0,16,0.0,0.0,0.0,1.4444780150900303,True
main,PANC1,0.4,structured,8,0,5,0.5608114968055845,0.35952927920893435,0.018610673025250435,2.9300370159380447,False
main,PANC1,0.4,unrestricted,8,0,0,0.7285739928066507,0.6500639914198385,0.02146987710148096,1.7389892770826734,False
main,PANC1,0.7,additive,8,0,16,0.0,0.0,0.2735157273709774,1.00243038524339,True
main,PANC1,0.7,order_insensitive,8,0,16,0.0,0.0,0.0,1.0030674374680666,True
main,PANC1,0.7,structured,8,0,8,0.4019603867777525,0.3767134640155538,0.018956484040245414,3.129993443627735,False
main,PANC1,0.7,unrestricted,8,0,0,0.6563596402426691,0.5212578881424962,0.013587102759629488,1.1819861742157352,False
