tag,screen,coverage,family,split_seed,value
main,PANC1,0.05,order_insensitive,4,0.017032483642293785
main,PANC1,0.05,order_insensitive,5,0.017853830415661125
main,PANC1,0.05,order_insensitive,6,0.014666774490872779
main,PANC1,0.05,order_insensitive,7,0.01793197018988473
main,PANC1,0.05,structured,0,0.0127744252578447
main,PANC1,0.05,structured,1,0.013634993334675997
main,PANC1,0.05,structured,2,0.0132133104507528
main,PANC1,0.05,structured,3,0.01648937702516885
main,PANC1,0.05,structured,4,0.018643608915577686
main,PANC1,0.05,structured,5,0.01638246481994947
main,PANC1,0.05,structured,6,0.015276266652993791
main,PANC1,0.05,structured,7,0.01559959220183198
main,PANC1,0.05,unrestricted,0,0.012422902458681856
main,PANC1,0.05,unrestricted,1,0.014634918012585667
main,PANC1,0.05,unrestricted,2,0.01239648095843762
main,PANC1,0.05,unrestricted,3,0.015940531401833002
main,PANC1,0.05,unrestricted,4,0.017534096664280803
main,PANC1,0.05,unrestricted,5,0.016201126804282744
main,PANC1,0.05,unrestricted,6,0.014540902345476036
main,PANC1,0.05,unrestricted,7,0.01624401056153807
main,PANC1,0.1,additive,0,0.009438804438657737
main,PANC1,0.1,additive,1,0.012989729406558901
main,PANC1,0.1,additive,2,0.010880965670585531
main,PANC1,0.1,additive,3,0.013582947979440877
main,PANC1,0.1,additive,4,0.012760224621058554
main,PANC1,0.1,additive,5,0.013397731861227318
main,PANC1,0.1,additive,6,0.011530213140412495
main,PANC1,0.1,additive,7,0.0122304972651144
main,PANC1,0.1,order_insensitive,0,0.01191700730840295
main,PANC1,0.1,order_insensitive,1,0.01457320737298839
main,PANC1,0.1,order_insensitive,2,0.01382799901914668
main,PANC1,0.1,order_insensitive,3,0.01564918941498083
main,PANC1,0.1,order_insensitive,4,0.014484313813142814
main,PANC1,0.1,order_insensitive,5,0.015557402117607548
main,PANC1,0.1,order_insensitive,6,0.013309177745734086
main,PANC1,0.1,order_insensitive,7,0.014511439656294842
main,PANC1,0.1,structured,0,0.011468420146755216
main,PANC1,0.1,structured,1,0.012395508494326869
main,PANC1,0.1,structured,2,0.010915646476502835
main,PANC1,0.1,structured,3,0.015108337361202767
main,PANC1,0.1,structured,4,0.013074465667780668
main,PANC1,0.1,structured,5,0.012827753145141226
main,PANC1,0.1,structured,6,0.013560807196918889
main,PANC1,0.1,structured,7,0.013391525989187178
main,PANC1,0.1,unrestricted,0,0.01025283565514182
main,PANC1,0.1,unrestricted,1,0.012236209853417493
main,PANC1,0.1,unrestricted,2,0.010415353712790681
main,PANC1,0.1,unrestricted,3,0.014996237499625592
main,PANC1,0.1,unrestricted,4,0.01262448644845759
main,PANC1,0.1,unrestricted,5,0.013586608513605328
main,PANC1,0.1,unrestricted,6,0.013846081557996959
main,PANC1,0.1,unrestricted,7,0.013008734852836682
main,PANC1,0.2,additive,0,0.009035153744756094
main,PANC1,0.2,additive,1,0.01249749055219109
main,PANC1,0.2,additive,2,0.01039682737240022
main,PANC1,0.2,additive,3,0.012393764841039701
main,PANC1,0.2,additive,4,0.012047162462731992
main,PANC1,0.2,additive,5,0.012755687443832596
main,PANC1,0.2,additive,6,0.011211955962489055
main,PANC1,0.2,additive,7,0.01138680373692042
main,PANC1,0.2,order_insensitive,0,0.009133175021457558
main,PANC1,0.2,order_insensitive,1,0.01159459977484773
main,PANC1,0.2,order_insensitive,2,0.010140333843788185
main,PANC1,0.2,order_insensitive,3,0.011761008310977799
main,PANC1,0.2,order_insensitive,4,0.012213063534831049
main,PANC1,0.2,order_insensitive,5,0.011338918816816434
main,PANC1,0.2,order_insensitive,6,0.010498578718158534
main,PANC1,0.2,order_insensitive,7,0.01073979972084995
main,PANC1,0.2,structured,0,0.007135907138432193
main,PANC1,0.2,structured,1,0.008518746875626418
main,PANC1,0.2,structured,2,0.008061574009541222
main,PANC1,0.2,structured,3,0.009626770812529283
main,PANC1,0.2,structured,4,0.00837378348285971
main,PANC1,0.2,structured,5,0.009414858761508693
main,PANC1,0.2,structured,6,0.009096065130192867
main,PANC1,0.2,structured,7,0.008180433984979908
main,PANC1,0.2,unrestricted,0,0.006868758416011968
main,PANC1,0.2,unrestricted,1,0.008123738074692802
main,PANC1,0.2,unrestricted,2,0.007591342855150932
main,PANC1,0.2,unrestricted,3,0.009760216274832149
main,PANC1,0.2,unrestricted,4,0.008731197100001833
main,PANC1,0.2,unrestricted,5,0.008976788498113094
main,PANC1,0.2,unrestricted,6,0.00851410850444964
main,PANC1,0.2,unrestricted,7,0.007893428619655668
main,PANC1,0.4,additive,0,0.008617970947110587
main,PANC1,0.4,additive,1,0.012106094161614643
main,PANC1,0.4,additive,2,0.010048445847017145
main,PANC1,0.4,additive,3,0.011703007443475221
main,PANC1,0.4,additive,4,0.011982855009031568
main,PANC1,0.4,additive,5,0.011685058496210378
main,PANC1,0.4,additive,6,0.010633295414501073
main,PANC1,0.4,additive,7,0.011179223646249375
main,PANC1,0.4,order_insensitive,0,0.010476811324729543
main,PANC1,0.4,order_insensitive,1,0.010498237947316066
main,PANC1,0.4,order_insensitive,2,0.011894634375043284
main,PANC1,0.4,order_insensitive,3,0.013935505136066176
main,PANC1,0.4,order_insensitive,4,0.014536876398703954
main,PANC1,0.4,order_insensitive,5,0.010142334500443079
main,PANC1,0.4,order_insensitive,6,0.012499565541218744
main,PANC1,0.4,order_insensitive,7,0.013362940612969788
main,PANC1,0.4,structured,0,0.004901720322772995
main,PANC1,0.4,structured,1,0.005789036257560319
main,PANC1,0.4,structured,2,0.0049994472061106136
main,PANC1,0.4,structured,3,0.0058292976222892165
main,PANC1,0.4,structured,4,0.006399064068194572
main,PANC1,0.4,structured,5,0.005921492493003039
main,PANC1,0.4,structured,6,0.005709684578590571
main,PANC1,0.4,structured,7,0.0053234754089564055
main,PANC1,0.4,unrestricted,0,0.004802487982892617
main,PANC1,0.4,unrestricted,1,0.00592758567029475
main,PANC1,0.4,unrestricted,2,0.0051611701713002904
main,PANC1,0.4,unrestricted,3,0.005983930743071588
main,PANC1,0.4,unrestricted,4,0.006702724642107449
main,PANC1,0.4,unrestricted,5,0.00573484725912233
main,PANC1,0.4,unrestricted,6,0.006156556587725217
main,PANC1,0.4,unrestricted,7,0.0051314823794534415
main,PANC1,0.7,additive,0,0.008458153732544223
main,PANC1,0.7,additive,1,0.01193966905634497
main,PANC1,0.7,additive,2,0.009887765814658375
main,PANC1,0.7,additive,3,0.011566946420117852
main,PANC1,0.7,additive,4,0.011616185744822555
main,PANC1,0.7,additive,5,0.011601219716123264
main,PANC1,0.7,additive,6,0.01057624533728375
main,PANC1,0.7,additive,7,0.010882454843011025
main,PANC1,0.7,order_insensitive,0,0.010476715783651122
main,PANC1,0.7,order_insensitive,1,0.014130798222076565
main,PANC1,0.7,order_insensitive,2,0.011803604921613371
main,PANC1,0.7,order_insensitive,3,0.013843136685056805
main,PANC1,0.7,order_insensitive,4,0.014280516455617245
main,PANC1,0.7,order_insensitive,5,0.013996078882125335
main,PANC1,0.7,order_insensitive,6,0.012414847835326428
main,PANC1,0.7,order_insensitive,7,0.013106494333367979
main,PANC1,0.7,structured,0,0.004288403014310537
main,PANC1,0.7,structured,1,0.00525018381321471
