drug_index,label,parent_chembl_id,target_chembl_id,target_name,organism,mechanism_of_action,action_type
77,Sunitinib Malate,CHEMBL535,CHEMBL1955,Vascular endothelial growth factor receptor 3,Homo sapiens,Vascular endothelial growth factor receptor 3 inhibitor,INHIBITOR
77,Sunitinib Malate,CHEMBL535,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,Tyrosine-protein kinase receptor FLT3 inhibitor,INHIBITOR
77,Sunitinib Malate,CHEMBL535,CHEMBL2041,Proto-oncogene tyrosine-protein kinase receptor Ret,Homo sapiens,Tyrosine-protein kinase receptor RET inhibitor,INHIBITOR
78,Tamoxifen Citrate,CHEMBL83,CHEMBL206,Estrogen receptor,Homo sapiens,Estrogen receptor alpha modulator,MODULATOR
79,Temozolomide,CHEMBL810,CHEMBL2311221,DNA,Homo sapiens,DNA inhibitor,INHIBITOR
80,Teniposide,CHEMBL452231,CHEMBL2094255,DNA topoisomerase II,Homo sapiens,DNA topoisomerase II inhibitor,INHIBITOR
81,Thalidomide,CHEMBL468,CHEMBL3833061,CRL4(CRBN) E3 ubiquitin ligase,Homo sapiens,CRL4(CRBN) E3 ubiquitin ligase inhibitor,INHIBITOR
82,Thioguanine,CHEMBL727,CHEMBL2111369,Inosine-5'-monophosphate dehydrogenase (IMPDH),Homo sapiens,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor,INHIBITOR
82,Thioguanine,CHEMBL727,CHEMBL2311221,DNA,Homo sapiens,DNA inhibitor,INHIBITOR
83,Thiotepa,CHEMBL671,CHEMBL2311221,DNA,Homo sapiens,DNA inhibitor,INHIBITOR
84,Topotecan HCl,CHEMBL84,CHEMBL1781,DNA topoisomerase 1,Homo sapiens,DNA topoisomerase I inhibitor,INHIBITOR
85,Tretinoin,CHEMBL38,CHEMBL2363069,Retinoic acid receptor,Homo sapiens,Retinoic acid receptor agonist,AGONIST
87,Uracil mustard,CHEMBL1488,CHEMBL2311221,DNA,Homo sapiens,DNA inhibitor,INHIBITOR
88,Vemurafenib,CHEMBL1229517,CHEMBL5145,Serine/threonine-protein kinase B-raf,Homo sapiens,Serine/threonine-protein kinase B-raf inhibitor,INHIBITOR
89,Vinblastine Sulfate,CHEMBL159,CHEMBL2095182,Tubulin,Homo sapiens,Tubulin inhibitor,INHIBITOR
90,Vincristine Sulfate,CHEMBL90555,CHEMBL2095182,Tubulin,Homo sapiens,Tubulin inhibitor,INHIBITOR
91,Vinorelbine Tartrate,CHEMBL553025,CHEMBL2095182,Tubulin,Homo sapiens,Tubulin inhibitor,INHIBITOR
92,Vismodegib,CHEMBL473417,CHEMBL5971,Protein smoothened,Homo sapiens,Smoothened homolog inhibitor,INHIBITOR
93,Vorinostat,CHEMBL98,CHEMBL325,Histone deacetylase 1,Homo sapiens,Histone deacetylase 1 inhibitor,INHIBITOR
93,Vorinostat,CHEMBL98,CHEMBL1829,Histone deacetylase 3,Homo sapiens,Histone deacetylase 3 inhibitor,INHIBITOR
93,Vorinostat,CHEMBL98,CHEMBL1865,Protein deacetylase HDAC6,Homo sapiens,Histone deacetylase 6 inhibitor,INHIBITOR
93,Vorinostat,CHEMBL98,CHEMBL1937,Histone deacetylase 2,Homo sapiens,Histone deacetylase 2 inhibitor,INHIBITOR
94,Zoledronic Acid,CHEMBL924,CHEMBL1782,Farnesyl pyrophosphate synthase,Homo sapiens,Farnesyl diphosphate synthase inhibitor,INHIBITOR
95,abiraterone,CHEMBL254328,CHEMBL3522,"Steroid 17-alpha-hydroxylase/17,20 lyase",Homo sapiens,Cytochrome P450 17A1 inhibitor,INHIBITOR
95,abiraterone,CHEMBL254328,CHEMBL1871,Androgen receptor,Homo sapiens,Androgen Receptor antagonist,ANTAGONIST
95,abiraterone,CHEMBL254328,CHEMBL2363075,Steroid 5-alpha-reductase,Homo sapiens,Steroid 5-alpha-reductase inhibitor,INHIBITOR
