role,entity,n_rows,usable,mse_base,mse_pair,incremental,true_sd,bucket,contrast,fold_key,max_similarity_to_train,incremental_blind,key,block,screen,endpoint,representation,partition,fold,tag
acid,141,30,True,0.0297273401854423,0.0340624424084447,-0.1458287958478454,0.3269163396970539,test_e1a,primary,p0f0,0.4146341463414634,-0.0531248622722746,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,145,51,True,0.0560339112433998,0.0527672210881486,0.0582984496845377,0.3036074047122014,test_e1a,primary,p0f0,0.2653061224489796,0.0857857312312591,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,147,104,True,0.0419188589117278,0.0325392610581999,0.2237560395734854,0.2900346868322949,test_e1a,primary,p0f0,0.4375,0.1409498611686027,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,153,18,True,0.0774910541773477,0.0844909836438088,-0.0903320975662687,0.3739253141411471,test_e1a,primary,p0f0,0.2708333333333333,-0.1231507977874526,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,156,7,True,0.0088673431930532,0.0167624551776638,-0.8903582293731183,0.2265618300975317,test_e1a,primary,p0f0,0.3157894736842105,-0.7041710125500094,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,159,20,True,0.0532693585292322,0.0517035883309436,0.029393449471131,0.3389343254192004,test_e1a,primary,p0f0,0.3584905660377358,0.2149935908200867,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,166,16,True,0.0354166921219157,0.0352993659882268,0.0033127355114077,0.3430629227391578,test_e1a,primary,p0f0,0.6896551724137931,0.2228541012613506,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,170,22,True,0.1073883648113116,0.0966350307239969,0.1001350016476092,0.0074825467919356,test_e1a,primary,p0f0,0.8490566037735849,-0.0469256988638593,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,171,2,False,0.0006872623797182,0.0010758240659835,-0.5653760452078687,0.0,test_e1a,primary,p0f0,0.6530612244897959,-0.4642322599818336,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,176,10,True,0.1207020504286616,0.1151193175287268,0.0462521794792077,0.3811559209970522,test_e1a,primary,p0f0,0.6428571428571429,-0.1646962245186871,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,196,2,False,0.0115032711561789,0.0135851332324696,-0.1809800054284946,0.0,test_e1a,primary,p0f0,0.6666666666666666,0.8123927852733124,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,200,16,True,0.0079193910582265,0.0014658830783564,0.8148995209885892,0.0006782022805427,test_e1a,primary,p0f0,0.6896551724137931,0.5083567210360382,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,202,10,True,0.0044765595645274,0.0006514012376133,0.854486190069919,0.0168233171520957,test_e1a,primary,p0f0,0.5769230769230769,0.5773306750347447,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,204,14,True,0.0069010545484343,0.0043284426354322,0.3727853322918216,0.0735295410470744,test_e1a,primary,p0f0,0.6,0.4668135499148704,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,216,19,True,0.0107648349877433,0.0107907124560392,-0.0024038889890432,0.2586025240375594,test_e1a,primary,p0f0,0.4827586206896552,-0.0146161588204341,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,218,8,True,0.0250902961480883,0.0137385201131567,0.4524369089918651,0.146556909960407,test_e1a,primary,p0f0,0.5294117647058824,0.0710472324715433,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,226,7,True,0.112745766811819,0.152865235926405,-0.3558401370540887,0.360171826718727,test_e1a,primary,p0f0,0.5,-0.1269246481917156,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,227,8,True,0.1988290812378813,0.1437176485509309,0.2771799393923393,0.0960256215809093,test_e1a,primary,p0f0,0.3023255813953488,0.2813898931445402,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,230,79,True,0.0722115444081754,0.0564225018268738,0.2186498393117599,0.2804655414976018,test_e1a,primary,p0f0,0.6285714285714286,0.121330123269451,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,236,50,True,0.0399438742433587,0.0456651948614822,-0.1432339933594373,0.09896752920395,test_e1a,primary,p0f0,0.3469387755102041,-0.2032578677285526,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,263,113,True,0.0676084202015346,0.0597494473297195,0.1162425160710483,0.3465977886978146,test_e1a,primary,p0f0,0.275,0.067947873008904,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,1,8,True,0.0229149964489081,0.0225037481617306,0.0179466877987289,0.0,test_e1n,primary,p0f0,0.225,-0.0418212760361198,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,6,27,True,0.0179962960959826,0.0135857349574848,0.2450816054022552,0.0153663644592713,test_e1n,primary,p0f0,0.1860465116279069,0.1308768786128789,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,7,66,True,0.0239603741983247,0.0228755855645335,0.0452742776390829,0.1520050554014539,test_e1n,primary,p0f0,0.1860465116279069,0.0835679549131058,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
