role,entity,n_rows,usable,mse_base,mse_pair,incremental,true_sd,bucket,contrast,fold_key,max_similarity_to_train,incremental_blind,key,block,screen,endpoint,representation,partition,fold,tag
acid,173,3,True,0.0027186260684011,0.0106332677245817,-2.9112652704147943,0.1478016689125442,test_e1a,primary,p0f4,0.5230769230769231,-3.733158041043259,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,179,31,True,0.0196360385513221,0.0302210834352451,-0.5390621359933283,0.3488127059748001,test_e1a,primary,p0f4,0.72,-0.0308182680756374,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,181,41,True,0.0141371554461424,0.0223060869058787,-0.5778341683273556,0.2887739972289918,test_e1a,primary,p0f4,0.6415094339622641,-0.0821767641759831,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,182,41,True,0.0445835327907276,0.0517566221899858,-0.1608910050472733,0.4033941490500387,test_e1a,primary,p0f4,0.6666666666666666,0.1735401263779356,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,189,29,True,0.0952509363812941,0.1312244607357243,-0.3776710835726218,0.0891337623249849,test_e1a,primary,p0f4,0.2222222222222222,-0.0181454323491003,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,190,1,False,0.1251563720484698,0.0686576626264066,0.4514249534189338,,test_e1a,primary,p0f4,0.2222222222222222,0.0410382258469503,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,191,3,True,0.0065617554568523,0.0031372508154011,0.52188848913517,0.0,test_e1a,primary,p0f4,0.2222222222222222,0.9093370480098274,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,197,35,True,0.0344266350759832,0.0561184823051154,-0.6300890918109163,0.2061175648862121,test_e1a,primary,p0f4,0.6785714285714286,0.0550264353981534,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,203,6,True,0.0207887309354908,0.0202795677812383,0.0244922672688648,0.0541745481445546,test_e1a,primary,p0f4,0.64,0.3881546647892977,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,208,11,True,0.0361339095794022,0.0394476486981656,-0.0917071846732124,0.2366707690212099,test_e1a,primary,p0f4,0.5490196078431373,-0.1055255933995924,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,209,3,True,0.0086723857287073,0.0013824881232969,0.8405873347260513,0.0,test_e1a,primary,p0f4,0.4444444444444444,0.9093370480098274,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,216,20,True,0.003291497404796,0.0047089638870779,-0.4306448731256709,0.1972847274479464,test_e1a,primary,p0f4,0.4827586206896552,-0.1478756975959032,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,226,5,True,0.0070534359303467,0.0100457054734735,-0.4242286415692691,0.1980007575743082,test_e1a,primary,p0f4,0.5,-0.4825736201343247,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,240,27,True,0.0333465259482516,0.0263376387040255,0.2101834312546591,0.3270092823028892,test_e1a,primary,p0f4,0.6363636363636364,0.1776071866049625,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,252,5,True,0.0317089383594091,0.0211789058258832,0.3320840456458002,0.2906888370749727,test_e1a,primary,p0f4,0.4146341463414634,0.167805182376013,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,264,75,True,0.0637455112334985,0.0665814515994161,-0.0444884715965259,0.3321714961547087,test_e1a,primary,p0f4,0.2926829268292683,0.0318881994354552,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,4,9,True,0.0117074435032401,0.0080886872887816,0.3090987552882041,0.0,test_e1n,primary,p0f4,0.25,0.3247629203706577,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
