role,entity,n_rows,usable,mse_base,mse_pair,incremental,true_sd,bucket,contrast,fold_key,max_similarity_to_train,incremental_blind,key,block,screen,endpoint,representation,partition,fold,tag
acid,152,4,True,0.4375525156403233,0.4435716534542813,-0.0137563780319018,1.0934677147300824,test_e1a,primary,p0f1,0.7254901960784313,-0.0851507025155844,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,154,74,True,2.2718060836642473,2.1458052348447505,0.0554628538613063,1.5260879531289506,test_e1a,primary,p0f1,0.234375,0.0244643873170381,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,160,7,True,1.696655073729366,1.5434798876784352,0.0902806872314011,1.4999314238565793,test_e1a,primary,p0f1,0.4821428571428571,0.0173326249187357,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,161,10,True,0.5736525183144155,0.5962930927653647,-0.0394674018297256,1.1366245736691465,test_e1a,primary,p0f1,0.6274509803921569,0.0662770472933363,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,167,4,True,6.3318139272325,6.052905043321044,0.04404881241249,1.3383346944104657,test_e1a,primary,p0f1,0.6551724137931034,0.0639571094693018,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,177,57,True,5.6767746864003,5.338090556011226,0.0596613656695678,1.8328460769619803,test_e1a,primary,p0f1,0.7924528301886793,0.0261931078222082,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,179,28,True,2.260995774467753,2.1667499859964967,0.0416833103075754,1.273190958620735,test_e1a,primary,p0f1,0.7254901960784313,0.0389051164996607,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,180,10,True,8.57556526309146,8.348146597449889,0.0265193790338653,1.5784020181390863,test_e1a,primary,p0f1,0.7037037037037037,0.0397136600749364,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,181,38,True,1.9599175804884013,1.8623515334414984,0.0497806887484473,1.3919990748582791,test_e1a,primary,p0f1,0.6666666666666666,0.0234999636723901,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,185,37,True,3.6058526629572474,3.469987594254665,0.0376790405493595,1.566096740569827,test_e1a,primary,p0f1,0.6296296296296297,0.0270624906941819,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
