screen,drug,label,incremental_skill,skill_better,skill_base,max_sim_to_train,n_pairs,stratum
A375,30,Docetaxel,0.16213787863596774,-0.14068913691560128,-0.36241589923001233,0.783945061172784,270,high
A375,31,Doxorubicin HCl,0.20030794792050022,0.6306850648979282,0.539700194804109,0.8533333333333334,270,high
A375,32,Erlotinib HCl,0.012167511361079741,0.11745862159267151,0.10795773269712257,0.3830409356725146,270,medium
A375,33,Estramustine phosphate,-0.061813499308037256,-0.1538034287556401,-0.08505550563804605,0.22321036451471232,270,low
A375,34,Etoposide,0.014804165471350772,0.2071699202976355,0.1954656301265394,0.7530864197530865,270,high
A375,35,Everolimus,0.13173526442574968,0.41644992655100266,0.3271191112484561,0.8727272727272727,270,high
A375,36,Exemestane,-0.008550769266698177,-0.01713688999606607,-0.009684736964668946,0.21043771043771042,270,low
A375,37,Floxuridine,-0.07492393055265412,0.08844418608567657,0.1524313811078107,0.4716981132075471,270,medium
A375,38,Fludarabine Phosphate,0.048933614935467884,-0.002949687248279228,-0.06697241202611741,0.4615384615384615,270,medium
A375,39,Fluorouracil (5-FU),0.011657606129560016,0.11952134531459606,0.10968665574371735,0.3406404470234257,270,medium
A375,40,Fulvestrant,0.02484395317446131,-0.04252385245345924,-0.06926694671783451,0.24242424242424243,270,medium
A375,41,Gefitinib,0.010806778714196219,0.43311077827345024,0.4268554244226174,0.4444444444444444,270,medium
A375,42,Gemcitabine HCl,-0.008652303485762625,0.4052826169824195,0.4106810308601146,0.5361111111111111,270,high
A375,43,Hydroxyurea,0.004619268960581513,0.33853098297444917,0.33506028895016143,0.19354838709677416,270,low
A375,44,Ifosfamide,0.02111521934486471,0.3178401419393601,0.30361357419921237,0.22891963109354416,270,low
A375,45,Imatinib Mesylate,-0.24580234798397238,0.31182084708922925,0.4498973865144606,0.4360725563633694,270,medium
A375,46,Imiquimod,0.08941206790431144,0.2644231880945747,0.19159556927997803,0.20895522388059704,270,low
A375,47,Irinotecan HCl,-0.27318873861983417,0.3382290483963677,0.4755703687335875,0.5161290322580645,270,high
A375,48,Ixabepilone,0.025689024241180136,0.2580155265887619,0.23528736694331845,0.1595959595959596,270,low
A375,49,Lapatinib Ditosylate,-0.007042049255131744,0.4061114142813504,0.4105465306133494,0.31683168316831684,270,medium
A375,50,Lenalidomide,-0.1357386283806825,-0.08309292432167581,0.04461840879633431,0.5454545454545454,270,high
A375,51,Letrozole,0.05302850338844445,0.04565237363474406,-0.012258077776591714,0.26,270,medium
A375,52,Lomustine; CCNU,0.05955059433720189,0.22929903626266612,0.17477007683734122,0.5277777777777778,270,high
A375,53,Mechlorethamine HCl,-0.02522869279953488,-0.15153366534215937,-0.12318314708757798,0.22847222222222222,270,low
A375,54,Megestrol acetate,0.05917674788955185,-0.7935748802468264,-0.9088371753405431,0.21955430006277465,270,low
A375,55,Melphalan,0.11010767031233981,-0.021619243589907078,-0.14670021162516425,0.4669189795346229,270,medium
A375,56,Mercaptopurine,0.23770364626502372,0.4931640400473393,0.33755075086052067,0.5333333333333333,270,high
A375,57,Methotrexate,0.37197206281644324,0.4992077333148787,0.20433384158732637,0.6527777777777778,270,high
A375,58,Methoxsalen,0.15904694123141017,0.48752108289001805,0.39119064149519556,0.12301587301587302,270,low
A375,59,Mitomycin C,-0.02012894101295193,-0.04220604378106585,-0.02159143543782401,0.1393195521102498,270,low
A375,60,Mitotane; o;p'-DDD,0.0020965671373542882,0.014526294921216598,0.012510298562245207,0.125,270,low
A375,61,Mitoxantrone HCl,-0.007560525820990538,0.219457210015383,0.22546777347483335,0.16666666666666666,270,low
A375,62,Nelarabine,-0.23985233106194426,0.05020696566927633,0.23370422369883456,0.5157232704402516,270,medium
A375,63,Nilotinib,0.028630864205606676,0.12443255448590951,0.09929112123035484,0.4182872371074618,270,medium
A375,64,Oxaliplatin,0.0371882321577135,0.5762932734560234,0.5602471807217967,0.21832358674463936,270,low
A375,65,Paclitaxel,0.09848557271808678,0.2882122503617417,0.21304037776310306,0.7676767676767676,270,high
A375,66,Pazopanib HCl,0.04043132919122017,0.3308131983735082,0.3028310562262539,0.25773195876288657,270,medium
A375,67,Pemetrexed Disodium,0.08017483542247583,0.28737950543935487,0.22519741278840363,0.37804878048780494,270,medium
A375,68,Pentostatin,-0.11756735474788127,0.015108656020065059,0.11177214715378503,0.46896955503512877,270,medium
A375,69,Pipobroman,0.023280936920973883,0.03510756170480659,0.008763787330467898,0.1724137931034483,270,low
A375,70,Plicamycin,0.061128935774201754,0.31511485934870115,0.2698888366408892,0.24003048006096014,270,medium
A375,71,Pralatrexate,0.3237645484775079,0.5053587946290876,0.2670016388639194,0.6527777777777778,270,high
A375,72,Procarbazine HCl,-0.07846070224075219,0.22067247909911292,0.2789190033587376,0.24074074074074073,270,medium
A375,73,Raloxifene HCl,-0.08612715283492167,-1.4136214173916664,-1.2454105689102308,0.21126760563380284,270,low
A375,74,Romidepsin,-0.03581936730039326,0.32313830548755723,0.3472340228529644,0.14615384615384616,270,low
A375,75,Sirolimus (Rapamycin),0.2744429807033941,0.528118686036999,0.34912094795810916,0.8727272727272727,270,high
A375,76,Streptozocin,-0.24223381276704226,0.13747695872295285,0.30135704662540547,0.2413793103448276,270,medium
A375,77,Sunitinib Malate,0.030026583893825398,0.1293700554514916,0.10321768679059762,0.15527777777777776,270,low
A375,78,Tamoxifen Citrate,0.04620978595358971,0.27962209037671953,0.24571697392137057,0.19441649899396377,270,low
A375,79,Temozolomide,0.04752118901859981,0.37830558917769014,0.3479613603385485,0.1835071707953064,270,low
A375,80,Teniposide,0.16514014967687207,0.3106769650960907,0.16743048117457182,0.7530864197530865,270,high
A375,81,Thalidomide,0.006139300977803797,0.2093149959310513,0.20415902358109764,0.5454545454545454,270,high
A375,82,Thioguanine,0.05604860321593297,0.34690124967314184,0.30799314589389387,0.5333333333333333,270,high
