tag,screen,representation,coverage,fold_key,mse_better,mse_base,skill_better,skill_base,incremental_skill,better,base
primary,A375,ecfp4,1.0,p2f6,0.05066988421700406,0.05067011425246163,0.0725941640471841,0.07258995373115273,4.539864592034704e-06,lowrank,potential
primary,A375,ecfp4,1.0,p2f7,0.02064721631668874,0.01955684175735057,0.2692773017759462,0.3078665928384149,-0.05575412292367443,lowrank,potential
primary,A375,ecfp4,1.0,p2f9,0.04151925905002948,0.04330680706401276,0.2329083710433857,0.19988241756400582,0.041276375128304066,lowrank,potential
primary,PANC1,ecfp4,1.0,p0f0,0.019855731340629294,0.01985776965244144,0.1977815573884878,0.1976992047770708,0.00010264555626438021,lowrank,potential
primary,PANC1,ecfp4,1.0,p0f1,0.02359351058187869,0.02483584695057764,0.18883262356153618,0.14611991536347657,0.050021904675574436,lowrank,potential
primary,PANC1,ecfp4,1.0,p0f2,0.02167676705984906,0.024650008106783056,0.27970735673365776,0.18091016770398582,0.12061825838166096,lowrank,potential
primary,PANC1,ecfp4,1.0,p0f3,0.02791748868115992,0.02644974854442901,0.18637932644453814,0.22915479712852127,-0.05549164803081097,lowrank,potential
primary,PANC1,ecfp4,1.0,p0f4,0.02460723778553116,0.026802532167056678,0.19409417196530532,0.1221966046014662,0.08190623064427394,lowrank,potential
primary,PANC1,ecfp4,1.0,p0f5,0.02068836940077444,0.020812139841365446,-0.011208305100366633,-0.017257969770742898,0.005947030989336577,lowrank,potential
primary,PANC1,ecfp4,1.0,p0f6,0.018002483576874187,0.018094727674605016,0.14971121954250066,0.14535436949850422,0.005097843934965041,lowrank,potential
primary,PANC1,ecfp4,1.0,p0f7,0.015844206698747698,0.02049077123185637,0.40068130152595915,0.22492160201519518,0.2267637699202264,lowrank,potential
primary,PANC1,ecfp4,1.0,p0f8,0.01853908075237488,0.018651864313545888,0.008667144177352482,0.0026363138854470503,0.006046771479518931,lowrank,potential
primary,PANC1,ecfp4,1.0,p0f9,0.0170091551403967,0.018668186661396528,0.32668430338236076,0.26101073199963964,0.08886945213755004,lowrank,potential
primary,PANC1,ecfp4,1.0,p1f1,0.019967741347003864,0.021008511628276137,0.04545147982990283,-0.004302055863533605,0.049540410081762354,lowrank,potential
primary,PANC1,ecfp4,1.0,p1f0,0.020801132215610463,0.024213195138769513,0.24174004165931362,0.11736072118998053,0.14091749988400937,lowrank,potential
primary,PANC1,ecfp4,1.0,p1f2,0.024849309316955906,0.02663289134588753,0.18278828954105708,0.12413216747280797,0.06696914750140459,lowrank,potential
primary,PANC1,ecfp4,1.0,p1f7,0.017067680632408974,0.018308884949159675,0.21833569767406025,0.16149111948019568,0.0677924581533661,lowrank,potential
primary,PANC1,ecfp4,1.0,p1f4,0.022627301532291103,0.023376171232695697,0.1716552697604239,0.1442404996394272,0.03203560125180671,lowrank,potential
primary,PANC1,ecfp4,1.0,p1f3,0.022904798288929485,0.023096411988073957,0.2528597314189036,0.24660941177684792,0.008296253948163579,lowrank,potential
primary,PANC1,ecfp4,1.0,p1f5,0.024113352041415657,0.023054031765410272,0.07282338590077697,0.11355505128957888,-0.045949458506202134,lowrank,potential
primary,PANC1,ecfp4,1.0,p1f6,0.020370252068751253,0.022717637884163432,0.33263746693988394,0.2557332961640094,0.10332878036798676,lowrank,potential
primary,PANC1,ecfp4,1.0,p1f8,0.020172400969947057,0.021334514287662434,0.17453377702679262,0.12697943322455896,0.05447104640143685,lowrank,potential
primary,PANC1,ecfp4,1.0,p1f9,0.018303267278108683,0.021793015815459574,0.2945693706736141,0.16007013239615975,0.1601315103380655,lowrank,potential
primary,PANC1,ecfp4,1.0,p2f3,0.023872197008434393,0.023861119074741567,0.17848353946870177,0.17886476558182884,-0.0004642671476609017,lowrank,potential
primary,PANC1,ecfp4,1.0,p2f1,0.03085752854161788,0.030857580278801866,0.05781289801206746,0.057811318296848935,1.6766442318960628e-06,lowrank,potential
primary,PANC1,ecfp4,1.0,p2f2,0.019191187952760334,0.018896631025971312,-0.030495317774233976,-0.014678707847781025,-0.015587801147420643,lowrank,potential
primary,PANC1,ecfp4,1.0,p2f0,0.019603176097741985,0.024824528048165595,0.3770798569844451,0.21116361527568117,0.21033036117717618,lowrank,potential
primary,PANC1,ecfp4,1.0,p2f4,0.022087918812291083,0.024261801997402483,0.26955729919344873,0.19766745214787218,0.0896010603558689,lowrank,potential
primary,PANC1,ecfp4,1.0,p2f5,0.015117729742558329,0.01622672558443499,0.21013974862132612,0.1521977328981129,0.06834378483237757,lowrank,potential
primary,PANC1,ecfp4,1.0,p2f6,0.022285975134083865,0.02470973065099973,0.16523462044771076,0.07444805257947917,0.0980891111744191,lowrank,potential
primary,PANC1,ecfp4,1.0,p2f8,0.018416690811979806,0.019180169189062114,0.28719588302888066,0.25764602871690534,0.039805612221486375,lowrank,potential
primary,PANC1,ecfp4,1.0,p2f7,0.017055899107685964,0.01582346051965535,-0.0004048026048459885,0.07188323536940278,-0.07788679262034504,lowrank,potential
primary,PANC1,ecfp4,1.0,p2f9,0.027257649626628078,0.028064427787669363,0.1407462183319499,0.11531382796309342,0.02874735829802877,lowrank,potential
