screen,model,drug,label,n_folds,n_pairs,mse,mse_zero,skill,pearson,max_sim_to_train,median_sim_to_train,bits_set,stratum
PANC1,lowrank,13,Capecitabine,3,270,0.012639208614144325,0.012596481629551978,-0.004710611102338613,0.3279240750778676,0.2857142857142857,0.10896409743125897,53,medium
PANC1,lowrank,14,Carboplatin,3,270,0.008752157572772984,0.007334726819214321,-0.19748473396923472,0.22082817186210882,0.19576719576719573,0.04949875705374901,17,low
PANC1,lowrank,15,Carmustine,3,270,0.01478342350919653,0.016012716047485245,0.07689936927993794,0.32665627226094257,0.5277777777777778,0.04744337395662999,25,high
PANC1,lowrank,16,Celecoxib,3,270,0.010349586117457196,0.013532251937818084,0.23400140726266563,0.49373062660993566,0.1744507870610621,0.07483050875635489,40,low
PANC1,lowrank,17,Chlorambucil,3,270,0.025729812506568295,0.017453770532836792,-0.4745157239138848,-0.054375285381581956,0.5365853658536586,0.0772604588394062,31,high
PANC1,lowrank,18,Cisplatin,3,270,0.013048532724871005,0.01613787117444869,0.19082027989262854,0.41981275232859233,0.057539682539682536,0.0,5,low
PANC1,lowrank,19,Cladribine,3,270,0.022470379334585178,0.020980985041516992,-0.07483714358943401,0.42786097595753025,0.6008004574042309,0.08475719323824414,44,high
PANC1,lowrank,20,Clofarabine,3,270,0.017018872925213646,0.018029511561207374,0.06404530327535866,0.37038788886872004,0.5787878787878787,0.07585265922212647,45,high
PANC1,lowrank,21,Crizotinib,3,270,0.01148389841850867,0.014459154638798292,0.2052406168752848,0.46949177590078817,0.1854901960784314,0.08873831713853586,60,low
PANC1,lowrank,22,Cyclophosphamide,3,270,0.055860091595643264,0.07075434873520099,0.20580758369663713,0.6943496345991426,0.26988636363636365,0.04495492294710663,27,medium
PANC1,lowrank,23,Cytarabine; Ara-C,3,270,0.07026893937431314,0.07383334202700549,0.04833437001028584,0.2692595586279902,0.6310185185185185,0.09464066016504126,37,high
PANC1,lowrank,24,Dacarbazine,3,270,0.010384154504255212,0.011048742966776366,0.060254642892292286,0.3985924355138712,0.20094760312151616,0.08050745077706396,31,low
PANC1,lowrank,25,Dactinomycin,3,270,0.03478768073674542,0.044871829986943966,0.22772796993499111,0.5227356582501874,0.18052333557833822,0.09936411144052437,90,low
PANC1,lowrank,26,Dasatinib,3,270,0.012278926708216953,0.017340915131417226,0.2927130992694584,0.5371338960179447,0.24649859943977592,0.09500465989788809,65,medium
PANC1,lowrank,27,Daunorubicin HCl,3,270,0.017635910518882966,0.03962988104149767,0.5565500074213738,0.7584569980321572,0.8533333333333334,0.08879196051030487,68,high
PANC1,lowrank,28,Decitabine,3,270,0.028193231083597253,0.0431357861902034,0.3470616339128428,0.686699964723548,0.6000267630135153,0.10240322230778805,39,high
PANC1,lowrank,29,Dexrazoxane HCl,3,270,0.02258362328289336,0.01739360743115105,-0.2978515265225132,-0.003927234069934911,0.20000000000000004,0.07881374699002408,25,low
PANC1,lowrank,30,Docetaxel,3,270,0.017900714437333005,0.0517993716171439,0.6546153504720036,0.8327634014453217,0.783945061172784,0.08136703330406862,89,high
PANC1,lowrank,31,Doxorubicin HCl,3,270,0.015116989997079125,0.04372505476362745,0.6550776639842453,0.8629439352339215,0.8533333333333334,0.09155104319702269,71,high
PANC1,lowrank,32,Erlotinib HCl,3,270,0.03046185574147973,0.04060070553618688,0.2518204994404765,0.5114556124117818,0.3830409356725146,0.0723025495057817,47,medium
PANC1,lowrank,33,Estramustine phosphate,3,270,0.03943097373653467,0.03597019540244715,-0.09802480226109973,0.0325686079320602,0.22321036451471232,0.09711835804658255,61,low
PANC1,lowrank,34,Etoposide,3,270,0.016711410097384735,0.026385017857426484,0.364991865677086,0.616515109717446,0.7530864197530865,0.07444570510854832,66,high
PANC1,lowrank,35,Everolimus,3,270,0.01845496566939003,0.03648062470318,0.49046988334299363,0.7487217094394266,0.8727272727272727,0.07018122661328084,106,high
PANC1,lowrank,36,Exemestane,3,270,0.013678173870501834,0.014559234373897773,0.057459733695847816,0.32875366226846975,0.21043771043771042,0.06498363721365125,41,low
PANC1,lowrank,37,Floxuridine,3,270,0.02495682134132778,0.031006094838494338,0.19942631307404568,0.47280399073945273,0.4716981132075471,0.08764492753623188,39,medium
PANC1,lowrank,38,Fludarabine Phosphate,3,270,0.011563503267256608,0.012245520517610237,0.054640443157369156,0.2989712139600563,0.4615384615384615,0.09256531287242732,50,medium
PANC1,lowrank,39,Fluorouracil (5-FU),3,270,0.04004947019317313,0.02729416633891556,-0.45736041198627947,-0.05111312515343056,0.3406404470234257,0.04865839162589003,19,medium
PANC1,lowrank,40,Fulvestrant,3,270,0.012032600177654318,0.013281732244918009,0.08486954295573768,0.3245901320633389,0.24242424242424243,0.0834512755900666,62,medium
PANC1,lowrank,41,Gefitinib,3,270,0.01476630728347301,0.014188135611716614,-0.03580087909541648,0.3551012908564912,0.4444444444444444,0.08052737460270258,60,medium
PANC1,lowrank,42,Gemcitabine HCl,3,270,0.02962395778459176,0.026889084261260437,-0.10487693373697697,0.3653258482098243,0.5361111111111111,0.09860517939255564,40,high
PANC1,lowrank,43,Hydroxyurea,3,270,0.02209182598691517,0.026676563865674838,0.17013429010222794,0.40111849877771727,0.19354838709677416,0.04662857445869965,10,low
PANC1,lowrank,44,Ifosfamide,3,270,0.012155681815846545,0.014503163034583948,0.15686353581166926,0.42789277357487343,0.22891963109354416,0.05826601958612903,30,low
PANC1,lowrank,45,Imatinib Mesylate,3,270,0.019668252038107525,0.02438766899639823,0.19313197322502174,0.4374990397166802,0.4360725563633694,0.09399383918229147,65,medium
PANC1,lowrank,46,Imiquimod,3,270,0.03127973680833009,0.04344766844435996,0.2775458257555654,0.6455359557185028,0.20895522388059704,0.0923867798867799,37,low
PANC1,lowrank,47,Irinotecan HCl,3,270,0.013743126593139456,0.018405147270826466,0.2604612570870684,0.5341650546939651,0.5161290322580645,0.09716968266456859,78,high
PANC1,lowrank,48,Ixabepilone,3,270,0.04722143217572511,0.05175529650515264,0.08909061805721386,0.3400797080824278,0.1595959595959596,0.08211498178168473,67,low
PANC1,lowrank,49,Lapatinib Ditosylate,3,270,0.009764093643929321,0.011768119947571586,0.167606358605255,0.42557050400914304,0.31683168316831684,0.07943679944118047,73,medium
PANC1,lowrank,50,Lenalidomide,3,270,0.0236129034832074,0.022572201699080762,-0.0479012344280918,0.14621555393979482,0.5454545454545454,0.08095545225121314,39,high
PANC1,lowrank,51,Letrozole,3,270,0.011989930191681772,0.00874339807014962,-0.37106876381020215,0.06458420852652319,0.26,0.052992069214131216,29,medium
PANC1,lowrank,52,Lomustine; CCNU,3,270,0.022362716056899,0.03127812031277709,0.28441537549517243,0.555696289033257,0.5277777777777778,0.06420712572028361,30,high
PANC1,lowrank,53,Mechlorethamine HCl,3,270,0.03878176679527904,0.0345995568423946,-0.11641717046522952,0.19739472621335766,0.22847222222222222,0.032009440723849696,12,low
PANC1,lowrank,54,Megestrol acetate,3,270,0.009662593142436839,0.009478028947007125,-0.017212482090701548,0.20695704858005393,0.21955430006277465,0.07804979930333254,48,low
PANC1,lowrank,55,Melphalan,3,270,0.04457933544789178,0.04673174997600221,0.046138229334477456,0.26767371495253334,0.4669189795346229,0.08721078057462496,32,medium
PANC1,lowrank,56,Mercaptopurine,3,270,0.04937056063736192,0.05109455463596427,0.03386265905953911,0.19056071631135096,0.5333333333333333,0.06527865087647695,20,high
PANC1,lowrank,57,Methotrexate,3,270,0.011905340693855274,0.020625404954986125,0.4257195499563253,0.6700489296867297,0.6527777777777778,0.08841257643003986,58,high
PANC1,lowrank,58,Methoxsalen,3,270,0.0207695286994341,0.02397740984753347,0.13353039727263238,0.3774238481031645,0.12301587301587302,0.07984964097323648,31,low
PANC1,lowrank,59,Mitomycin C,3,270,0.03239533480792659,0.031766428114155365,-0.020939527867319712,0.09189737310024076,0.1393195521102498,0.08976601506304475,50,low
PANC1,lowrank,60,Mitotane; o;p'-DDD,3,270,0.010545477202460178,0.010540335791423347,-0.00015059317039833875,0.2555647229772077,0.125,0.046858378093625926,25,low
PANC1,lowrank,61,Mitoxantrone HCl,3,270,0.03167971777787367,0.035136890367347746,0.09878292608694905,0.3189150966418839,0.16666666666666666,0.07950759654182714,31,low
PANC1,lowrank,62,Nelarabine,3,270,0.014783409051259841,0.014408995389822309,-0.025336456347900344,0.2669473078279694,0.5157232704402516,0.08575899731477958,45,medium
PANC1,lowrank,63,Nilotinib,3,270,0.038713330904077754,0.04468276651453996,0.13222482998614526,0.34233499991592264,0.4182872371074618,0.08841461151986041,70,medium
PANC1,lowrank,64,Oxaliplatin,3,270,0.008434257799634583,0.012283965132240504,0.3157904014386305,0.5636058642062702,0.21832358674463936,0.057316125278105666,16,low
PANC1,lowrank,65,Paclitaxel,3,270,0.028043218711112195,0.04383178718703454,0.36404114692960216,0.6743330147971659,0.7676767676767676,0.08489718815805773,86,high
PANC1,lowrank,66,Pazopanib HCl,3,270,0.01932087958835736,0.016479195425953753,-0.17219710228722027,0.07328719578744113,0.25773195876288657,0.07873931623931624,57,medium
PANC1,lowrank,67,Pemetrexed Disodium,3,270,0.021179159610138276,0.02192576579999547,0.035798348640745305,0.3010882840708766,0.37804878048780494,0.08495026321113279,55,medium
PANC1,lowrank,68,Pentostatin,3,270,0.023199650303727948,0.019621201600161595,-0.18205885303883332,0.10090363157259162,0.46896955503512877,0.07789992077211179,44,medium
PANC1,lowrank,69,Pipobroman,3,270,0.009108948438177956,0.008864278959597965,-0.028596740510063962,0.2501720484853651,0.1724137931034483,0.06685621082070094,18,low
PANC1,lowrank,70,Plicamycin,3,270,0.037954617214078744,0.041940145236786235,0.09322097594452972,0.36966857275161713,0.24003048006096014,0.07129715396928511,86,medium
PANC1,lowrank,71,Pralatrexate,3,270,0.009437267263926253,0.016991399358892056,0.4416790183680952,0.7022139258099248,0.6527777777777778,0.08558019575469152,61,high
PANC1,lowrank,72,Procarbazine HCl,3,270,0.028503870416686394,0.0425193959425329,0.338470407657423,0.6782863165605587,0.24074074074074073,0.09606431880542488,30,medium
PANC1,lowrank,73,Raloxifene HCl,3,270,0.01144959496836454,0.010358377303182852,-0.1071076640500535,0.28500085290749416,0.21126760563380284,0.0894105894105894,51,low
PANC1,lowrank,74,Romidepsin,3,270,0.013816881154009544,0.022590966338361048,0.3883089526081085,0.6918882906415327,0.14615384615384616,0.06435446584379366,59,low
PANC1,lowrank,75,Sirolimus (Rapamycin),3,270,0.012796830103140108,0.03684104940245702,0.6496663878585897,0.8285787183816344,0.8727272727272727,0.06541534524602914,100,high
PANC1,lowrank,76,Streptozocin,3,270,0.008423369090929209,0.008016470822038305,-0.05076981728720997,0.3282735575956704,0.2413793103448276,0.07155275148473096,35,medium
PANC1,lowrank,77,Sunitinib Malate,3,270,0.011731548643790344,0.012064800505783237,0.025414202004291158,0.20742955116686343,0.15527777777777776,0.09524389205047175,57,low
PANC1,lowrank,78,Tamoxifen Citrate,3,270,0.011192756120463861,0.016399372920331282,0.32022430318463774,0.5763238661689462,0.19441649899396377,0.0794667946162742,35,low
PANC1,lowrank,79,Temozolomide,3,270,0.007625194776970115,0.009918726199258354,0.2331829586251646,0.4915546482588702,0.1835071707953064,0.08800103674634231,32,low
PANC1,lowrank,80,Teniposide,3,270,0.014452934832302476,0.024652860576940994,0.4167398382288306,0.6815929990208313,0.7530864197530865,0.0793254261333256,76,high
PANC1,lowrank,81,Thalidomide,3,270,0.010041215133384412,0.009323252866935633,-0.07428308320631187,0.33331248358204063,0.5454545454545454,0.08860579696088232,29,high
PANC1,lowrank,82,Thioguanine,3,270,0.04327502960576388,0.023198473559188026,-0.8668212399127739,0.11325849977745933,0.5333333333333333,0.05647152463190199,26,high
PANC1,lowrank,83,Thiotepa,3,270,0.03184748468819352,0.041859950662551194,0.23762140257224393,0.49155183570915356,0.15,0.01755990027314891,11,low
PANC1,lowrank,84,Topotecan HCl,3,270,0.014483736020978882,0.022806237309648227,0.3621510932678364,0.6298033278144851,0.5161290322580645,0.09818070684078888,63,high
PANC1,lowrank,85,Tretinoin,3,270,0.011524738939394388,0.012369900399613021,0.06476686369616506,0.2679009747478611,0.16,0.06634766327279697,39,low
PANC1,lowrank,86,Triethylenemelamine,3,270,0.028909759977441093,0.041544021579799785,0.3038485433899993,0.6511521992687052,0.15,0.04649295443514136,12,low
PANC1,lowrank,87,Uracil mustard,3,270,0.07621830173685117,0.07302609688549642,-0.04414670921794872,0.2573984920087231,0.3495827843653931,0.06004685908737081,27,medium
PANC1,lowrank,88,Vemurafenib,3,270,0.014524158518156778,0.017564951740250228,0.17372673908145675,0.5415813553122337,0.2110091743119266,0.09557300744924291,59,low
PANC1,lowrank,89,Vinblastine Sulfate,3,270,0.023337217745321746,0.05430053468843749,0.5676685074713853,0.7213065270610245,0.8352430100002916,0.0877337429595494,96,high
PANC1,lowrank,90,Vincristine Sulfate,3,270,0.015406575416507121,0.05387832323058694,0.7136974034282632,0.8364804390368117,0.883495145631068,0.08586932625409242,98,high
