tag,screen,representation,coverage,fold_key,partition,fold,model,n_params,synthetic_target,mse,mse_zero,skill,pearson,spearman,mae,rmse,sign_accuracy,n_pairs
primary,PANC1,ecfp4,1.0,p1f1,1,1,potential,36064,False,0.021008511628276137,0.02091851899099449,-0.004302055863533605,0.23871700913317923,0.2559677892606452,0.11008995185038672,0.14494313239431572,0.6522911051212938,900
primary,PANC1,ecfp4,1.0,p1f2,1,2,potential,1093,False,0.02663289134588753,0.03040743175718888,0.12413216747280797,0.3538510325688828,0.33821949574423343,0.11576193118478566,0.16319586804171093,0.6910569105691057,900
primary,PANC1,ecfp4,1.0,p1f3,1,3,potential,36096,False,0.023096411988073957,0.030656623999705274,0.24660941177684792,0.538191751289245,0.5065070615313517,0.10750770474630024,0.15197503738467696,0.8105849582172702,900
primary,PANC1,ecfp4,1.0,p1f4,1,4,potential,36928,False,0.023376171232695697,0.02731628596918432,0.1442404996394272,0.4173801328763811,0.40880178864418354,0.10921167455672001,0.15289267880672278,0.7235294117647059,900
primary,PANC1,ecfp4,1.0,p1f5,1,5,potential,1071,False,0.023054031765410272,0.026007291032509944,0.11355505128957888,0.3345172898241456,0.29686545292031224,0.11247390033099572,0.15183554183856385,0.6863270777479893,900
primary,PANC1,ecfp4,1.0,p1f6,1,6,potential,1138,False,0.022717637884163432,0.030523517667894462,0.2557332961640094,0.5004470299503764,0.47000746091456086,0.11031556415318954,0.15072371374194385,0.7872340425531915,900
primary,PANC1,ecfp4,1.0,p1f7,1,7,potential,36032,False,0.018308884949159675,0.0218350519290979,0.16149111948019568,0.4054806460005111,0.40123024020194265,0.09477524304799323,0.1353103283166502,0.7573770491803279,900
primary,PANC1,ecfp4,1.0,p1f8,1,8,potential,1113,False,0.021334514287662434,0.024437584977479818,0.12697943322455896,0.3840875570484233,0.34777417420679946,0.10947360615346508,0.14606339133288135,0.7097701149425287,900
primary,PANC1,ecfp4,1.0,p2f1,2,1,potential,35936,False,0.030857580278801866,0.03275095623418235,0.057811318296848935,0.37852596315021525,0.3398387734635063,0.11833989154343713,0.17566325819249132,0.688,900
primary,PANC1,ecfp4,1.0,p1f9,1,9,potential,36576,False,0.021793015815459574,0.025946232722537765,0.16007013239615975,0.40021722656073677,0.34084702162183744,0.10957191105920673,0.14762457727444836,0.6819407008086253,900
primary,PANC1,ecfp4,1.0,p2f0,2,0,potential,36000,False,0.024824528048165595,0.031469806069913,0.21116361527568117,0.47155135828391137,0.4199713826807194,0.1169214816689712,0.1575580148648922,0.700507614213198,900
primary,PANC1,ecfp4,1.0,p2f3,2,3,potential,36768,False,0.023861119074741567,0.02905869590609975,0.17886476558182884,0.41595877657977476,0.37949959609003636,0.11726980913051682,0.15447044725364645,0.733502538071066,900
primary,PANC1,ecfp4,1.0,p2f2,2,2,potential,1132,False,0.018896631025971312,0.018623265551765307,-0.014678707847781025,0.1521655343063208,0.14588562866538518,0.09955784519086847,0.1374650174625214,0.5709969788519638,900
primary,PANC1,ecfp4,1.0,p2f5,2,5,potential,1111,False,0.01622672558443499,0.019139752527324742,0.1521977328981129,0.4047537645443017,0.3360230815099772,0.09498818309521131,0.12738416535988684,0.782608695652174,900
primary,PANC1,ecfp4,1.0,p2f4,2,4,potential,35040,False,0.024261801997402483,0.030239084856213513,0.19766745214787218,0.4447999038090879,0.44438326467069716,0.11692537254911195,0.1557620043444565,0.7220843672456576,900
primary,PANC1,ecfp4,1.0,p2f6,2,6,potential,1136,False,0.02470973065099973,0.026697292053530695,0.07444805257947917,0.4025451089335546,0.3586948423226914,0.10513899870250101,0.15719329073150587,0.6846846846846847,900
